sentence,real_label,pred_label
['As'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['there'],O,O
['were'],O,O
"['8,746,301']",B-CommonStockCapitalSharesReservedForFutureIssuance,B-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['available'],O,O
['for'],O,O
['future'],O,O
['issuance'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['there'],O,O
['were'],O,O
['a'],O,O
['total'],O,O
['of'],O,O
"['324,257']",B-CommonStockCapitalSharesReservedForFutureIssuance,B-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['reserved'],O,O
['under'],O,O
['the'],O,O
['Plans'],O,O
['for'],O,O
['issuance'],O,O
['under'],O,O
['future'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['payment'],O,O
['arrangements'],O,O
['.'],O,O
['76'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['details'],O,O
['total'],O,O
['stock'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['for'],O,O
['the'],O,O
['years'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['2017'],O,O
['and'],O,O
['2016'],O,O
"[',']",O,O
['included'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['statements'],O,O
['of'],O,O
['operations'],O,O
[':'],O,O
['As'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['there'],O,O
['was'],O,O
['$'],O,O
['12.9'],O,O
['million'],O,O
['of'],O,O
['unrecognized'],O,O
['compensation'],O,O
['cost'],O,O
['related'],O,O
['to'],O,O
['non'],O,O
['-'],O,O
['vested'],O,O
['stock'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['arrangements'],O,O
['granted'],O,O
['under'],O,O
['the'],O,O
['Plans'],O,O
"[',']",O,O
['which'],O,O
['is'],O,O
['expected'],O,O
['to'],O,O
['be'],O,O
['recognized'],O,O
['over'],O,O
['a'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['period'],O,O
['of'],O,O
['1.9'],O,O
['years'],O,O
['.'],O,O
,,
['The'],O,O
['Fourth'],O,O
['Restated'],O,O
['Plan'],O,O
['increased'],O,O
['the'],O,O
['ordinary'],O,O
['shares'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['Third'],O,O
['Restated'],O,O
['Plan'],O,O
['by'],O,O
"['1,960,000']",B-CommonStockCapitalSharesReservedForFutureIssuance,B-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['to'],O,O
"['6,427,000']",O,O
['shares'],O,O
['plus'],O,O
['any'],O,O
['shares'],O,O
['subject'],O,O
['to'],O,O
['issued'],O,O
['and'],O,O
['outstanding'],O,O
['awards'],O,O
['under'],O,O
['certain'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['prior'],O,O
['equity'],O,O
['plans'],O,O
['that'],O,O
['expire'],O,O
"[',']",O,O
['are'],O,O
['cancelled'],O,O
['or'],O,O
['otherwise'],O,O
['terminated'],O,O
['after'],O,O
['March'],O,O
['14'],O,O
"[',']",O,O
['2016'],O,O
"[',']",O,O
['the'],O,O
['effective'],O,O
['date'],O,O
['of'],O,O
['the'],O,O
['first'],O,O
['amendment'],O,O
['and'],O,O
['restatement'],O,O
['of'],O,O
['the'],O,O
['Global'],O,O
['Share'],O,O
['Incentive'],O,O
['Plan'],O,O
['('],O,O
['2006'],O,O
[')'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['October'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['had'],O,O
"['1,319,891']",B-CommonStockCapitalSharesReservedForFutureIssuance,B-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['its'],O,O
['common'],O,O
['stock'],O,O
['available'],O,O
['for'],O,O
['future'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['ESPP'],O,O
['.'],O,O
,,
['At'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
"['881,920']",B-CommonStockCapitalSharesReservedForFutureIssuance,B-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['the'],O,O
['common'],O,O
['stock'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['were'],O,O
['reserved'],O,O
['to'],O,O
['be'],O,O
['issued'],O,O
['and'],O,O
"['466,759']",O,O
['shares'],O,O
['were'],O,O
['available'],O,O
['to'],O,O
['be'],O,O
['issued'],O,O
['.'],O,O
['The'],O,O
['2011'],O,O
['Plan'],O,O
['incentive'],O,O
['awards'],O,O
['may'],O,O
['consist'],O,O
['of'],O,O
['grants'],O,O
['of'],O,O
['incentive'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['nonqualified'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['stock'],O,O
['appreciation'],O,O
['rights'],O,O
"[',']",O,O
['restricted'],O,O
['stock'],O,O
"[',']",O,O
['deferred'],O,O
['stock'],O,O
['units'],O,O
['and'],O,O
['performance'],O,O
['shares'],O,O
['.'],O,O
,,
['Note'],O,O
['10'],O,O
['-'],O,O
['Dividends'],O,O
[':'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['outlines'],O,O
['the'],O,O
['dividends'],O,O
['declared'],O,O
['and'],O,O
['paid'],O,O
['for'],O,O
['NNN'],O,O
"[""'s""]",O,O
['common'],O,O
['stock'],O,O
['for'],O,O
['the'],O,O
['years'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
['('],O,O
['in'],O,O
['thousands'],O,O
"[',']",O,O
['except'],O,O
['per'],O,O
['share'],O,O
['data'],O,O
[')'],O,O
[':'],O,O
['On'],O,O
['January'],O,O
['15'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['NNN'],O,O
['declared'],O,O
['a'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.515'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
"[',']",O,O
['payable'],O,O
['February'],O,O
['14'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['to'],O,O
['its'],O,O
['common'],O,O
['stockholders'],O,O
['of'],O,O
['record'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
['.'],O,O
,,
['Subsequent'],O,O
['Events'],O,O
[':'],O,O
['On'],O,O
['February'],O,O
['4'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['the'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['declared'],O,O
['a'],O,O
['$'],O,O
['0.115'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['dividend'],O,O
['per'],O,O
['share'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['with'],O,O
['respect'],O,O
['to'],O,O
['the'],O,O
['quarter'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['On'],O,O
['July'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Scotts'],O,O
['Miracle'],O,O
['-'],O,O
['Gro'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['approved'],O,O
['an'],O,O
['increase'],O,O
['in'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['quarterly'],O,O
['cash'],O,O
['dividend'],O,O
['from'],O,O
['$'],O,O
['0.55'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['to'],O,O
['$'],O,O
['0.58'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['per'],O,O
['Common'],O,O
['Share'],O,O
['.'],O,O
,,
['In'],O,O
['July'],O,O
['2019'],O,O
"[',']",O,O
['our'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['declared'],O,O
['a'],O,O
['cash'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.14'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['to'],O,O
['be'],O,O
['paid'],O,O
['on'],O,O
['September'],O,O
['20'],O,O
"[',']",O,O
['2019'],O,O
['to'],O,O
['shareholders'],O,O
['of'],O,O
['record'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['3'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['SUBSEQUENT'],O,O
['EVENTS'],O,O
['On'],O,O
['July'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['announced'],O,O
['that'],O,O
['its'],O,O
['board'],O,O
['of'],O,O
['directors'],O,O
['declared'],O,O
['a'],O,O
['quarterly'],O,O
['cash'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.36'],B-CommonStockDividendsPerShareDeclared,B-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
['.'],O,O
,,
['Equity'],O,O
['As'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['our'],O,O
['share'],O,O
['capital'],O,O
['consisted'],O,O
['of'],O,O
"['500,000,000']",B-CommonStockSharesAuthorized,B-CommonStockSharesAuthorized
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['authorized'],O,O
"[',']",O,O
"['309,752,140']",O,O
['shares'],O,O
['issued'],O,O
['and'],O,O
"['309,005,272']",B-CommonStockSharesOutstanding,B-CommonStockSharesOutstanding
['shares'],O,O
['outstanding'],O,O
"[',']",O,O
['81.5'],O,O
['%'],O,O
['of'],O,O
['which'],O,O
['are'],O,O
['owned'],O,O
['by'],O,O
['Iberdrola'],O,O
"[',']",O,O
['each'],O,O
['having'],O,O
['a'],O,O
['par'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
['0.01'],B-CommonStockParOrStatedValuePerShare,B-CommonStockParOrStatedValuePerShare
"[',']",O,O
['for'],O,O
['a'],O,O
['total'],O,O
['value'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['of'],O,O
['$'],O,O
['3'],O,O
['million'],O,O
['and'],O,O
['additional'],O,O
['paid'],O,O
['in'],O,O
['capital'],O,O
['of'],O,O
['$'],O,O
"['13,659']",O,O
['million'],O,O
['.'],O,O
,,
['The'],O,O
['following'],O,O
['table'],O,O
['summarizes'],O,O
['the'],O,O
['Bank'],O,O
['’'],O,O
['s'],O,O
['bonds'],O,O
['outstanding'],O,O
['by'],O,O
['call'],O,O
['features'],O,O
['('],O,O
['dollars'],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['34'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['summarizes'],O,O
['the'],O,O
['Bank'],O,O
['’'],O,O
['s'],O,O
['bonds'],O,O
['outstanding'],O,O
['by'],O,O
['year'],O,O
['of'],O,O
['contractual'],O,O
['maturity'],O,O
['or'],O,O
['next'],O,O
['call'],O,O
['date'],O,O
['('],O,O
['dollars'],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['Note'],O,O
['12'],O,O
['-'],O,O
['Capital'],O,O
['CAPITAL'],O,O
['STOCK'],O,O
['The'],O,O
['Bank'],O,O
['’'],O,O
['s'],O,O
['capital'],O,O
['stock'],O,O
['has'],O,O
['a'],O,O
['par'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
['100'],B-CommonStockParOrStatedValuePerShare,B-CommonStockParOrStatedValuePerShare
['per'],O,O
['share'],O,O
"[',']",O,O
['and'],O,O
['all'],O,O
['shares'],O,O
['are'],O,O
['issued'],O,O
"[',']",O,O
['redeemed'],O,O
"[',']",O,O
['and'],O,O
['repurchased'],O,O
['only'],O,O
['at'],O,O
['the'],O,O
['stated'],O,O
['par'],O,O
['value'],O,O
['.'],O,O
,,
['As'],O,O
['a'],O,O
