sentence,real_label,pred_label
['Combination'],O,O
['-'],O,O
['As'],O,O
['discussed'],O,O
['in'],O,O
['Note'],O,O
['3'],O,O
"[',']",O,O
['Business'],O,O
['Combination'],O,O
"[',']",O,O
['we'],O,O
['issued'],O,O
['84.5'],I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['million'],O,O
['shares'],O,O
['of'],O,O
['McDermott'],O,O
['common'],O,O
['stock'],O,O
['to'],O,O
['the'],O,O
['former'],O,O
['CB'],O,O
['&'],O,O
['I'],O,O
['shareholders'],O,O
['.'],O,O
,,
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['the'],O,O
['aggregate'],O,O
['fair'],O,O
['values'],O,O
['and'],O,O
['gross'],O,O
['unrealized'],O,O
['losses'],O,O
['for'],O,O
['those'],O,O
['available'],O,O
['for'],O,O
['sale'],O,O
['investments'],O,O
['that'],O,O
['were'],O,O
['in'],O,O
['an'],O,O
['unrealized'],O,O
['loss'],O,O
['position'],O,O
['as'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['aggregated'],O,O
['by'],O,O
['investment'],O,O
['category'],O,O
['and'],O,O
['the'],O,O
['length'],O,O
['of'],O,O
['time'],O,O
['that'],O,O
['individual'],O,O
['securities'],O,O
['have'],O,O
['been'],O,O
['in'],O,O
['a'],O,O
['continuous'],O,O
['loss'],O,O
['position'],O,O
[':'],O,O
['Note'],O,O
['5-Business'],O,O
['AcquisitionsBankSight'],O,O
['Software'],O,O
['Systems'],O,O
['13'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['In'],O,O
['June'],O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['acquired'],O,O
['the'],O,O
['remaining'],O,O
['capital'],O,O
['stock'],O,O
['of'],O,O
['Bank'],O,O
['Sight'],O,O
['Software'],O,O
['Systems'],O,O
"[',']",O,O
['Inc.'],O,O
['('],O,O
['Bank'],O,O
['Sight'],O,O
[')'],O,O
['for'],O,O
['$'],O,O
['2.8'],O,O
['million'],O,O
['in'],O,O
['cash'],O,O
['and'],O,O
['the'],O,O
['issuance'],O,O
['of'],O,O
