sentence,real_label,pred_label
['The'],O,O
['adoption'],O,O
['of'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['did'],O,O
['not'],O,O
['materially'],O,O
['affect'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statements'],O,O
['of'],O,O
['Operations'],O,O
[';'],O,O
['and'],O,O
['therefore'],O,O
"[',']",O,O
['no'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['was'],O,O
['recorded'],O,O
['.'],O,O
,,
['Rental'],O,O
['expense'],O,O
['for'],O,O
['office'],O,O
['equipment'],O,O
['totaled'],O,O
['$'],O,O
"['1,132']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['and'],O,O
['$'],O,O
"['3,059']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['939'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['and'],O,O
['$'],O,O
"['2,198']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['assumed'],O,O
['occupancy'],O,O
['in'],O,O
['2012'],O,O
['and'],O,O
['the'],O,O
['leases'],O,O
['expire'],O,O
['in'],O,O
['2027'],O,O
['with'],O,O
['the'],O,O
['Company'],O,O
['having'],O,O
['one'],O,O
['10'],I-LesseeOperatingLeaseRenewalTerm,I-LesseeOperatingLeaseRenewalTerm
['-'],O,O
['year'],O,O
['option'],O,O
['to'],O,O
['extend'],O,O
['the'],O,O
['lease'],O,O
['term'],O,O
['.'],O,O
,,
['This'],O,O
['lease'],O,O
['expires'],O,O
['in'],O,O
['July'],O,O
['2026'],O,O
['and'],O,O
['we'],O,O
['may'],O,O
['renew'],O,O
['the'],O,O
['lease'],O,O
['for'],O,O
['an'],O,O
['additional'],O,O
['ten'],I-LesseeOperatingLeaseRenewalTerm,I-LesseeOperatingLeaseRenewalTerm
['years'],I-LesseeOperatingLeaseRenewalTerm,I-LesseeOperatingLeaseRenewalTerm
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['operating'],O,O
['leases'],O,O
['have'],O,O
['remaining'],O,O
['lease'],O,O
['terms'],O,O
['of'],O,O
['up'],O,O
['to'],O,O
['12'],I-LesseeOperatingLeaseTermOfContract,I-LesseeOperatingLeaseTermOfContract
['years'],O,O
"[',']",O,O
['some'],O,O
['of'],O,O
['which'],O,O
['include'],O,O
['options'],O,O
['to'],O,O
['extend'],O,O
['the'],O,O
['lease'],O,O
['term'],O,O
['.'],O,O
,,
['Our'],O,O
['leases'],O,O
['have'],O,O
['remaining'],O,O
['lease'],O,O
['terms'],O,O
['of'],O,O
['one'],I-LesseeOperatingLeaseTermOfContract,I-LesseeOperatingLeaseTermOfContract
['year'],I-LesseeOperatingLeaseTermOfContract,I-LesseeOperatingLeaseTermOfContract
['to'],O,O
['11'],I-LesseeOperatingLeaseTermOfContract,I-LesseeOperatingLeaseTermOfContract
['years'],O,O
['.'],O,O
,,
['Operating'],O,O
['lease'],O,O
['costs'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['were'],O,O
['less'],O,O
['than'],O,O
['$'],O,O
['1'],I-OperatingLeaseCost,I-OperatingLeaseCost
['million'],O,O
['.'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['shows'],O,O
['the'],O,O
['undiscounted'],O,O
['future'],O,O
['minimum'],O,O
['lease'],O,O
['payments'],O,O
['under'],O,O
['our'],O,O
['operating'],O,O
['leases'],O,O
['at'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['reconciled'],O,O
['to'],O,O
['the'],O,O
['corresponding'],O,O
['discounted'],O,O
['lease'],O,O
['liabilities'],O,O
['presented'],O,O
['in'],O,O
['our'],O,O
['condensed'],O,O
['consolidated'],O,O
['interim'],O,O
['financial'],O,O
['statements'],O,O
[':'],O,O
['14'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['Leases'],O,O
['are'],O,O
['presented'],O,O
['in'],O,O
['the'],O,O
['condensed'],O,O
['consolidated'],O,O
['statements'],O,O
['of'],O,O
['financial'],O,O
['position'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['Disclosures'],O,O
['Related'],O,O
['to'],O,O
['Periods'],O,O
['Prior'],O,O
['to'],O,O
['Adoption'],O,O
['of'],O,O
['the'],O,O
['New'],O,O
['Lease'],O,O
['Guidance'],O,O
['Operating'],O,O
['lease'],O,O
['costs'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
['were'],O,O
['less'],O,O
['than'],O,O
['$'],O,O
['1'],I-OperatingLeaseCost,I-OperatingLeaseCost
['million'],O,O
['and'],O,O
['$'],O,O
['1'],I-OperatingLeaseCost,I-OperatingLeaseCost
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['Lease'],O,O
['expense'],O,O
['for'],O,O
['the'],O,O
['quarter'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['was'],O,O
['$'],O,O
['9.6'],I-OperatingLeaseExpense,I-OperatingLeaseExpense
['million'],O,O
"[',']",O,O
['of'],O,O
['which'],O,O
['$'],O,O
['6.8'],O,O
['million'],O,O
['related'],O,O
['to'],O,O
['operating'],O,O
['leases'],O,O
['and'],O,O
['$'],O,O
['2.8'],O,O
['million'],O,O
['related'],O,O
['to'],O,O
['short'],O,O
['-'],O,O
['term'],O,O
['leases'],O,O
['and'],O,O
['variable'],O,O
['lease'],O,O
['payments'],O,O
['.'],O,O
,,
['The'],O,O
['adoption'],O,O
['resulted'],O,O
['in'],O,O
['the'],O,O
['recognition'],O,O
['of'],O,O
['ROU'],O,O
['assets'],O,O
['of'],O,O
['$'],O,O
"['80,328']",I-OperatingLeaseRightOfUseAsset,I-OperatingLeaseRightOfUseAsset
['('],O,O
['net'],O,O
['of'],O,O
['deferred'],O,O
['rent'],O,O
['of'],O,O
['$'],O,O
"['8,626']",O,O
[')'],O,O
['and'],O,O
['lease'],O,O
['liabilities'],O,O
['of'],O,O
['$'],O,O
"['88,954']",I-OperatingLeaseLiability,I-OperatingLeaseLiability
['for'],O,O
['operating'],O,O
['leases'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['lease'],O,O
['costs'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['supplemental'],O,O
['consolidated'],O,O
['statement'],O,O
['of'],O,O
['financial'],O,O
['position'],O,O
['information'],O,O
['as'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['supplemental'],O,O
['cash'],O,O
['flow'],O,O
['information'],O,O
['related'],O,O
['to'],O,O
['operating'],O,O
['leases'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['Three'],O,O
['Months'],O,O
['Ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019Cash'],O,O
['paid'],O,O
['for'],O,O
['amounts'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['measurement'],O,O
['of'],O,O
['lease'],O,O
['liability'],O,O
[':'],O,O
['Operating'],O,O
['cash'],O,O
['outflows'],O,O
['from'],O,O
['operating'],O,O
['leases'],O,O
['$'],O,O
['97'],I-OperatingLeasePayments,I-OperatingLeasePayments
['Noncash'],O,O
['operating'],O,O
['lease'],O,O
['activity'],O,O
[':'],O,O
['Right'],O,O
['-'],O,O
['of'],O,O
['-'],O,O
['use'],O,O
['assets'],O,O
['obtained'],O,O
['in'],O,O
['exchange'],O,O
['for'],O,O
['operating'],O,O
['lease'],O,O
['liabilities'],O,O
['74'],O,O
['13'],O,O
['Johnson'],O,O
['Controls'],O,O
['International'],O,O
['plc'],O,O
['Notes'],O,O
['to'],O,O
['Consolidated'],O,O
['Financial'],O,O
['Statements'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['('],O,O
['unaudited'],O,O
[')'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['presents'],O,O
['maturities'],O,O
['of'],O,O
['operating'],O,O
['lease'],O,O
['liabilities'],O,O
['as'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['('],O,O
['in'],O,O
['millions'],O,O
[')'],O,O
[':'],O,O
['As'],O,O
['previously'],O,O
['disclosed'],O,O
