sentence,real_label,pred_label
['In'],O,O
['the'],O,O
['first'],O,O
['six'],O,O
['months'],O,O
['of'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recorded'],O,O
['interest'],O,O
['expense'],O,O
['on'],O,O
['the'],O,O
['Notes'],O,O
['of'],O,O
['$'],O,O
['7.2'],I-InterestExpenseDebt,I-InterestExpenseDebt
['million'],O,O
['which'],O,O
['consisted'],O,O
['of'],O,O
['$'],O,O
['0.9'],O,O
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['0.625'],O,O
['%'],O,O
['coupon'],O,O
['rate'],O,O
"[',']",O,O
['$'],O,O
['5.6'],O,O
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['accretion'],O,O
['of'],O,O
['the'],O,O
['debt'],O,O
['discount'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['0.7'],I-AmortizationOfFinancingCosts,I-AmortizationOfFinancingCosts
['million'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['amortization'],O,O
['of'],O,O
['the'],O,O
['debt'],O,O
['issuance'],O,O
['costs'],O,O
['.'],O,O
,,
['Amortization'],O,O
['expense'],O,O
['pertaining'],O,O
['to'],O,O
['these'],O,O
['costs'],O,O
['totaled'],O,O
['$'],O,O
['680'],I-AmortizationOfFinancingCosts,I-AmortizationOfFinancingCosts
"[',']",O,O
['$'],O,O
['474'],I-AmortizationOfFinancingCosts,I-AmortizationOfFinancingCosts
"[',']",O,O
['and'],O,O
['$'],O,O
['526'],I-AmortizationOfFinancingCosts,I-AmortizationOfFinancingCosts
['for'],O,O
['the'],O,O
['years'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['2017'],O,O
['and'],O,O
['2016'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['is'],O,O
['included'],O,O
['in'],O,O
['interest'],O,O
['expense'],O,O
['in'],O,O
['the'],O,O
['accompanying'],O,O
['condensed'],O,O
['consolidated'],O,O
['statements'],O,O
['of'],O,O
['earnings'],O,O
['.'],O,O
