sentence,real_label,pred_label
['ABR'],O,O
['borrowings'],O,O
['('],O,O
['which'],O,O
['are'],O,O
['borrowings'],O,O
['bearing'],O,O
['interest'],O,O
['at'],O,O
['a'],O,O
['rate'],O,O
['determined'],O,O
['by'],O,O
['reference'],O,O
['to'],O,O
['the'],O,O
['ABR'],O,O
[')'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['will'],O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['the'],O,O
['greatest'],O,O
['of'],O,O
['('],O,O
['a'],O,O
[')'],O,O
['the'],O,O
['prime'],O,O
['rate'],O,O
['in'],O,O
['effect'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
"[',']",O,O
['('],O,O
['b'],O,O
[')'],O,O
['the'],O,O
['federal'],O,O
['funds'],O,O
['effective'],O,O
['rate'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['0.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['or'],O,O
['('],O,O
['c'],O,O
[')'],O,O
['the'],O,O
['adjusted'],O,O
['LIBOR'],O,O
['for'],O,O
['a'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['interest'],O,O
['period'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['1.0'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['.'],O,O
,,
['Following'],O,O
['this'],O,O
['redemption'],O,O
"[',']",O,O
['$'],O,O
['225.0'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['of'],O,O
['the'],O,O
['2023'],O,O
['Senior'],O,O
['Notes'],O,O
['remained'],O,O
['outstanding'],O,O
['.'],O,O
,,
['We'],O,O
['received'],O,O
['approximately'],O,O
['$'],O,O
['88.0'],O,O
['million'],O,O
['in'],O,O
['cash'],O,O
['proceeds'],O,O
['from'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['these'],O,O
['warrants'],O,O
['.'],O,O
['Taken'],O,O
['together'],O,O
"[',']",O,O
['the'],O,O
['purchase'],O,O
['of'],O,O
['the'],O,O
['convertible'],O,O
['note'],O,O
['hedges'],O,O
['and'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['warrants'],O,O
['are'],O,O
['intended'],O,O
['to'],O,O
['offset'],O,O
['any'],O,O
['actual'],O,O
['dilution'],O,O
['from'],O,O
['the'],O,O
['conversion'],O,O
['of'],O,O
['the'],O,O
['Notes'],O,O
['and'],O,O
['to'],O,O
['effectively'],O,O
['increase'],O,O
['the'],O,O
['overall'],O,O
['conversion'],O,O
['price'],O,O
['from'],O,O
['$'],O,O
['48.85'],I-DebtInstrumentConvertibleConversionPrice1,I-DebtInstrumentConvertibleConversionPrice1
['to'],O,O
['$'],O,O
['73.46'],O,O
['per'],O,O
['share'],O,O
['.'],O,O
,,
['Senior'],O,O
['Notes'],O,O
['At'],O,O
['January'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['seven'],O,O
['issues'],O,O
['of'],O,O
['senior'],O,O
['notes'],O,O
['outstanding'],O,O
['with'],O,O
['an'],O,O
['aggregate'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['$'],O,O
['2.52'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['billion'],O,O
['.'],O,O
,,
['Mitsubishi'],O,O
['Bank'],O,O
['loans'],O,O
['On'],O,O
['February'],O,O
['25'],O,O
"[',']",O,O
['2015'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['entered'],O,O
['into'],O,O
['certain'],O,O
['loan'],O,O
['agreements'],O,O
['and'],O,O
['related'],O,O
['agreements'],O,O
['with'],O,O
['MUFG'],O,O
['Bank'],O,O
"[',']",O,O
['Ltd.'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Mitsubishi'],O,O
['Bank'],O,O
['”'],O,O
[')'],O,O
['that'],O,O
['provided'],O,O
['for'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['a'],O,O
['term'],O,O
['loan'],O,O
['in'],O,O
['the'],O,O
['aggregate'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['500.0'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['million'],O,O
['JPY'],O,O
['('],O,O
['$'],O,O
['4.4'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['million'],O,O
[')'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Term'],O,O
['Loan'],O,O
['A'],O,O
['”'],O,O
[')'],O,O
['and'],O,O
['('],O,O
['ii'],O,O
[')'],O,O
['a'],O,O
['term'],O,O
['loan'],O,O
['in'],O,O
['the'],O,O
['aggregate'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['one'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['billion'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['JPY'],O,O
['('],O,O
['approximately'],O,O
['$'],O,O
['9.3'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['million'],O,O
[')'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Term'],O,O
['Loan'],O,O
['B'],O,O
['”'],O,O
['and'],O,O
['together'],O,O
['with'],O,O
['the'],O,O
['Term'],O,O
['Loan'],O,O
['A'],O,O
"[',']",O,O
['the'],O,O
['“'],O,O
['2015'],O,O
['Mitsubishi'],O,O
['Bank'],O,O
['Loans'],O,O
['”'],O,O
[')'],O,O
['.'],O,O
,,
['26'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['ADOBE'],O,O
['INC'],O,O
['.'],O,O
['NOTES'],O,O
['TO'],O,O
['CONDENSED'],O,O
['CONSOLIDATED'],O,O
['FINANCIAL'],O,O
['STATEMENTS'],O,O
['('],O,O
['Continued'],O,O
[')'],O,O
['('],O,O
['Unaudited'],O,O
[')'],O,O
['Assets'],O,O
['and'],O,O
['Liabilities'],O,O
['Measured'],O,O
['at'],O,O
['Fair'],O,O
['Value'],O,O
['on'],O,O
['a'],O,O
['Nonrecurring'],O,O
['Basis'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['our'],O,O
['senior'],O,O
['notes'],O,O
['was'],O,O
['$'],O,O
['1.95'],I-DebtInstrumentFairValue,I-DebtInstrumentFairValue
['billion'],O,O
['as'],O,O
['of'],O,O
['May'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['based'],O,O
['on'],O,O
['observable'],O,O
['market'],O,O
['prices'],O,O
['in'],O,O
['less'],O,O
['active'],O,O
['markets'],O,O
['and'],O,O
['categorized'],O,O
['as'],O,O
['Level'],O,O
['2'],O,O
['.'],O,O
,,
['The'],O,O
['$'],O,O
['50.0'],O,O
['million'],O,O
['and'],O,O
['$'],O,O
['250.0'],O,O
['million'],O,O
['tranches'],O,O
['were'],O,O
['priced'],O,O
['at'],O,O
['105.040'],I-DebtInstrumentRedemptionPricePercentage,I-DebtInstrumentRedemptionPricePercentage
['%'],O,O
['and'],O,O
['98.995'],I-DebtInstrumentRedemptionPricePercentage,I-DebtInstrumentRedemptionPricePercentage
['%'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['of'],O,O
['the'],O,O
['principal'],O,O
['amount'],O,O
['to'],O,O
['yield'],O,O
['3.495'],I-DebtInstrumentInterestRateEffectivePercentage,I-DebtInstrumentInterestRateEffectivePercentage
['%'],O,O
['and'],O,O
['4.501'],I-DebtInstrumentInterestRateEffectivePercentage,I-DebtInstrumentInterestRateEffectivePercentage
['%'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['to'],O,O
['maturity'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['has'],O,O
['provided'],O,O
['Shanghai'],O,O
['Disney'],O,O
['Resort'],O,O
['with'],O,O
['loans'],O,O
['totaling'],O,O
['$'],O,O
['809'],O,O
['million'],O,O
"[',']",O,O
['bearing'],O,O
['interest'],O,O
['at'],O,O
['rates'],O,O
['up'],O,O
['to'],O,O
['8'],I-DebtInstrumentInterestRateStatedPercentage,I-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
['and'],O,O
['maturing'],O,O
['in'],O,O
['2036'],O,O
"[',']",O,O
['with'],O,O
['early'],O,O
['repayment'],O,O
['permitted'],O,O
['.'],O,O
,,
['LONG'],O,O
['-'],O,O
['TERM'],O,O
['DEBT'],O,O
['Long'],O,O
['-'],O,O
['term'],O,O
['debt'],O,O
['consisted'],O,O
['of'],O,O
['the'],O,O
['following'],O,O
[':'],O,O
['In'],O,O
['March'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['amended'],O,O
['and'],O,O
['refinanced'],O,O
['its'],O,O
['existing'],O,O
['term'],O,O
['loan'],O,O
"[',']",O,O
['referred'],O,O
['to'],O,O
['as'],O,O
['Term'],O,O
['Loan'],O,O
['B-1'],O,O
['('],O,O
['as'],O,O
['so'],O,O
['amended'],O,O
['and'],O,O
['refinanced'],O,O
"[',']",O,O
['the'],O,O
['“'],O,O
['2023'],O,O
['Term'],O,O
['Loans'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['in'],O,O
['order'],O,O
['to'],O,O
"[',']",O,O
['among'],O,O
['other'],O,O
['things'],O,O
"[',']",O,O
['extend'],O,O
['the'],O,O
['due'],O,O
['date'],O,O
['of'],O,O
['the'],O,O
['loan'],O,O
['from'],O,O
['September'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['25'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['2021'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['to'],O,O
['March'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['26'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['2023'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",O,O
['reduce'],O,O
['the'],O,O
['interest'],O,O
['payable'],O,O
['from'],O,O
