sentence,real_label,pred_label
['For'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['Intermountain'],O,O
['Healthcare'],O,O
['accounted'],O,O
['for'],O,O
['14'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['10'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['total'],O,O
['net'],O,O
['services'],O,O
['revenue'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['Purchases'],O,O
['of'],O,O
['Sadara'],O,O
['products'],O,O
['represented'],O,O
['8'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['percent'],O,O
['of'],O,O
"['""']",O,O
['Cost'],O,O
['of'],O,O
['sales'],O,O
"['""']",O,O
['in'],O,O
['2019'],O,O
['('],O,O
['9'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['percent'],O,O
['in'],O,O
['2018'],O,O
['and'],O,O
['4'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['percent'],O,O
['in'],O,O
['2017'],O,O
[')'],O,O
['.'],O,O
,,
['Our'],O,O
['North'],O,O
['America'],O,O
['business'],O,O
"[',']",O,O
['which'],O,O
['generates'],O,O
['approximately'],O,O
['89'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['consolidated'],O,O
['revenue'],O,O
"[',']",O,O
['is'],O,O
['our'],O,O
['only'],O,O
['reportable'],O,O
['segment'],O,O
['.'],O,O
,,
['During'],O,O
['2017'],O,O
"[',']",O,O
['checks'],O,O
['represented'],O,O
['39'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['Small'],O,O
['Business'],O,O
['Services'],O,O
['segment'],O,O
"[""'s""]",O,O
['revenue'],O,O
"[',']",O,O
['43'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['Financial'],O,O
['Services'],O,O
['segment'],O,O
"[""'s""]",O,O
['revenue'],O,O
['and'],O,O
['84'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['Direct'],O,O
['Checks'],O,O
['segment'],O,O
"[""'s""]",O,O
['revenue'],O,O
['.'],O,O
,,
['The'],O,O
['aforementioned'],O,O
['sales'],O,O
['from'],O,O
['intersegment'],O,O
['transactions'],O,O
"[',']",O,O
['which'],O,O
['were'],O,O
['at'],O,O
['market'],O,O
['prices'],O,O
"[',']",O,O
['were'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['segment'],O,O
['sales'],O,O
['in'],O,O
['the'],O,O
['above'],O,O
['table'],O,O
['.'],O,O
['Our'],O,O
['largest'],O,O
['customer'],O,O
"[',']",O,O
['Walmart'],O,O
['Inc.'],O,O
"[',']",O,O
['accounted'],O,O
['for'],O,O
['16.9'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
"[',']",O,O
['17.3'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['17.3'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['consolidated'],O,O
['sales'],O,O
