sentence,real_label,pred_label
['The'],O,O
['operating'],O,O
['expenses'],O,O
['and'],O,O
['capital'],O,O
['costs'],O,O
['billed'],O,O
['from'],O,O
['KCP'],O,O
['&'],O,O
['L'],O,O
['to'],O,O
['GMO'],O,O
['were'],O,O
['$'],O,O
['42.2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['and'],O,O
['$'],O,O
['84.2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['and'],O,O
['year'],O,O
['to'],O,O
['date'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['month'],O,O
['periods'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['also'],O,O
['obtained'],O,O
['and'],O,O
['paid'],O,O
['legal'],O,O
['services'],O,O
['totaling'],O,O
['six'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['thousand'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['two'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['hundred'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['and'],O,O
['$'],O,O
['0.2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['to'],O,O
['Segal'],O,O
['McCambridge'],O,O
['Singer'],O,O
['&'],O,O
['Mahoney'],O,O
"[',']",O,O
['a'],O,O
['firm'],O,O
['for'],O,O
['which'],O,O
['the'],O,O
['brother'],O,O
['-'],O,O
['in'],O,O
['-'],O,O
['law'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['Executive'],O,O
['Vice'],O,O
['President'],O,O
"[',']",O,O
['General'],O,O
['Counsel'],O,O
['and'],O,O
['Secretary'],O,O
['is'],O,O
['a'],O,O
['shareholder'],O,O
['.'],O,O
,,
['In'],O,O
['addition'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['reimbursed'],O,O
['Loews'],O,O
['for'],O,O
['general'],O,O
['corporate'],O,O
['services'],O,O
['and'],O,O
['related'],O,O
['travel'],O,O
['expenses'],O,O
['of'],O,O
['$'],O,O
['1'],B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['less'],O,O
['than'],O,O
['$'],O,O
['1'],B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['for'],O,O
['the'],O,O
['years'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['.'],O,O
,,
['Agreement'],O,O
['Regarding'],O,O
['Mall'],O,O
['Venture'],O,O
['On'],O,O
['May'],O,O
['2'],O,O
"[',']",O,O
['2016'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['entered'],O,O
['into'],O,O
['an'],O,O
['agreement'],O,O
['with'],O,O
['CPHP'],O,O
['pursuant'],O,O
['to'],O,O
['which'],O,O
"[',']",O,O
['upon'],O,O
['completion'],O,O
['of'],O,O
['the'],O,O
['Retail'],O,O
['Project'],O,O
"[',']",O,O
['CPHP'],O,O
['will'],O,O
['contribute'],O,O
['all'],O,O
['of'],O,O
['its'],O,O
['interests'],O,O
['in'],O,O
['the'],O,O
['Mall'],O,O
['Venture'],O,O
['Member'],O,O
['to'],O,O
['the'],O,O
['Operating'],O,O
['Company'],O,O
['in'],O,O
['exchange'],O,O
['for'],O,O
"['2,917,827']",B-SaleOfStockNumberOfSharesIssuedInTransaction,O
['Class'],O,O
['A'],O,O
['Common'],O,O
['Units'],O,O
['of'],O,O
['the'],O,O
['Operating'],O,O
['Company'],O,O
['.'],O,O
,,
['The'],O,O
['Offering'],O,O
['closed'],O,O
['in'],O,O
['July'],O,O
['2017'],O,O
['and'],O,O
['we'],O,O
['received'],O,O
['$'],O,O
['290'],O,O
['million'],O,O
['of'],O,O
['proceeds'],O,O
['('],O,O
['$'],O,O
['288'],O,O
['million'],O,O
['net'],O,O
['of'],O,O
['fees'],O,O
['and'],O,O
['expenses'],O,O
[')'],O,O
['from'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['the'],O,O
['five'],B-SaleOfStockNumberOfSharesIssuedInTransaction,B-SaleOfStockNumberOfSharesIssuedInTransaction
['million'],I-SaleOfStockNumberOfSharesIssuedInTransaction,I-SaleOfStockNumberOfSharesIssuedInTransaction
['shares'],O,O
['.'],O,O
,,
['The'],O,O
['Holding'],O,O
['Company'],O,O
['used'],O,O
['the'],O,O
['proceeds'],O,O
['from'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['the'],O,O
['Class'],O,O
['B'],O,O
['common'],O,O
['shares'],O,O
['to'],O,O
['purchase'],O,O
"['7,142,857']",O,O
['Class'],O,O
['B'],O,O
['Common'],O,O
['Units'],O,O
['of'],O,O
['the'],O,O
['Operating'],O,O
['Company'],O,O
['at'],O,O
['a'],O,O
['price'],O,O
['of'],O,O
['$'],O,O
['0.00633'],B-SaleOfStockPricePerShare,B-SaleOfStockPricePerShare
['per'],O,O
['unit'],O,O
['.'],O,O
['Reverse'],O,O
['Share'],O,O
['Split'],O,O
['On'],O,O
['March'],O,O
['30'],O,O
"[',']",O,O
['2017'],O,O
"[',']",O,O
['the'],O,O
['board'],O,O
['of'],O,O
['directors'],O,O
['of'],O,O
['the'],O,O
['Holding'],O,O
['Company'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Board'],O,O
['”'],O,O
[')'],O,O
['approved'],O,O
"[',']",O,O
['and'],O,O
['on'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2017'],O,O
['the'],O,O
['Company'],O,O
['effected'],O,O
"[',']",O,O
['('],O,O
['i'],O,O
[')'],O,O
['a'],O,O
['1'],O,O
['for'],O,O
['6.33'],O,O
['reverse'],O,O
['share'],O,O
['split'],O,O
['of'],O,O
['issued'],O,O
['and'],O,O
['outstanding'],O,O
['Class'],O,O
['A'],O,O
['and'],O,O
['Class'],O,O
['B'],O,O
['common'],O,O
['shares'],O,O
['of'],O,O
['the'],O,O
['Holding'],O,O
['Company'],O,O
"[',']",O,O
['('],O,O
['ii'],O,O
[')'],O,O
['a'],O,O
['1'],O,O
['for'],O,O
['6.33'],O,O
['reverse'],O,O
['unit'],O,O
['split'],O,O
['of'],O,O
['issued'],O,O
['and'],O,O
['outstanding'],O,O
['Class'],O,O
['A'],O,O
['and'],O,O
['Class'],O,O
['B'],O,O
['Common'],O,O
['Units'],O,O
['of'],O,O
['the'],O,O
['Operating'],O,O
['Company'],O,O
"[',']",O,O
['and'],O,O
['('],O,O
['iii'],O,O
[')'],O,O
['a'],O,O
['1'],O,O
['for'],O,O
['6.33'],O,O
['reverse'],O,O
['unit'],O,O
['split'],O,O
['of'],O,O
['the'],O,O
['issued'],O,O
['and'],O,O
['outstanding'],O,O
['Class'],O,O
['A'],O,O
['and'],O,O
['Class'],O,O
['B'],O,O
['Units'],O,O
['of'],O,O
