sentence,real_label,pred_label
['Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['During'],O,O
['the'],O,O
['first'],O,O
['quarter'],O,O
['of'],O,O
['2020'],O,O
"[',']",O,O
['we'],O,O
['granted'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['RSUs'],O,O
['and'],O,O
['PSUs'],O,O
['to'],O,O
['certain'],O,O
['officers'],O,O
['and'],O,O
['other'],O,O
['eligible'],O,O
['employees'],O,O
"[',']",O,O
['and'],O,O
['recognized'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['of'],O,O
['$'],O,O
['5.9'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['and'],O,O
['$'],O,O
['11.4'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['during'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
['and'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['On'],O,O
['April'],O,O
['4'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Operating'],O,O
['Partnership'],O,O
['partially'],O,O
['funded'],O,O
['a'],O,O
['property'],O,O
['acquisition'],O,O
['by'],O,O
['issuing'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['346,989']",I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['OP'],O,O
['Units'],O,O
['valued'],O,O
['at'],O,O
['approximately'],O,O
['$'],O,O
['6.5'],O,O
['million'],O,O
['.'],O,O
,,
['During'],O,O
['June'],O,O
['2018'],O,O
"[',']",O,O
['one'],O,O
['of'],O,O
['our'],O,O
['consolidated'],O,O
['VIEs'],O,O
['acquired'],O,O
['a'],O,O
['20'],I-EquityMethodInvestmentOwnershipPercentage,I-EquityMethodInvestmentOwnershipPercentage
['%'],O,O
['interest'],O,O
['in'],O,O
['Beijing'],O,O
['All'],O,O
['-'],O,O
['in'],O,O
['-'],O,O
['one'],O,O
['Cloud'],O,O
['Net'],O,O
['Technology'],O,O
"[',']",O,O
['Co.'],O,O
['Ltd.'],O,O
['('],O,O
['“'],O,O
['AIO'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['a'],O,O
['Chinese'],O,O
['technology'],O,O
['company'],O,O
['which'],O,O
['provides'],O,O
['consulting'],O,O
['and'],O,O
['data'],O,O
['services'],O,O
['to'],O,O
['the'],O,O
['Chinese'],O,O
['film'],O,O
['industry'],O,O
"[',']",O,O
['in'],O,O
['exchange'],O,O
['for'],O,O
['$'],O,O
['1.0'],O,O
['million'],O,O
"[',']",O,O
['a'],O,O
['portion'],O,O
['of'],O,O
['which'],O,O
['was'],O,O
['paid'],O,O
['by'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['and'],O,O
['a'],O,O
['license'],O,O
['to'],O,O
['use'],O,O
['our'],O,O
['proprietary'],O,O
['Kan'],O,O
['Kan'],O,O
['data'],O,O
['intelligence'],O,O
['platform'],O,O
['in'],O,O
['China'],O,O
['.'],O,O
,,
['de'],O,O
['C.V.'],O,O
['('],O,O
['“'],O,O
['TCM'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['a'],O,O
