sentence,real_label,pred_label
['The'],O,O
['intangible'],O,O
['assets'],O,O
['will'],O,O
['be'],O,O
['amortized'],O,O
['over'],O,O
['a'],O,O
['weighted'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['2'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['tradenames'],O,O
['/'],O,O
['trademarks'],O,O
"[',']",O,O
['10'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['customer'],O,O
['relationships'],O,O
"[',']",O,O
['and'],O,O
['12'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],O,O
['for'],O,O
['contracts'],O,O
['with'],O,O
['sports'],O,O
['teams'],O,O
['on'],O,O
['a'],O,O
['straight'],O,O
['line'],O,O
['basis'],O,O
['.'],O,O
,,
['The'],O,O
['remaining'],O,O
['acquired'],O,O
['intangible'],O,O
['assets'],O,O
['were'],O,O
['determined'],O,O
['to'],O,O
['be'],O,O
['subject'],O,O
['to'],O,O
['amortization'],O,O
['with'],O,O
['an'],O,O
['average'],O,O
['useful'],O,O
['life'],O,O
['of'],O,O
['approximately'],O,O
['nine'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['years'],I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife
['.'],O,O
,,
['Subsequent'],O,O
['to'],O,O
['the'],O,O
['balance'],O,O
['sheet'],O,O
['date'],O,O
"[',']",O,O
['on'],O,O
['July'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['acquired'],O,O
['a'],O,O
['100'],I-BusinessAcquisitionPercentageOfVotingInterestsAcquired,I-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['%'],O,O
['interest'],O,O
['in'],O,O
['a'],O,O
"['258,000']",O,O
['SF'],O,O
['retail'],O,O
['operating'],O,O
['property'],O,O
"[',']",O,O
['The'],O,O
['Pruneyard'],O,O
"[',']",O,O
['in'],O,O
['Campbell'],O,O
"[',']",O,O
['CA'],O,O
['for'],O,O
['a'],O,O
['purchase'],O,O
['price'],O,O
['of'],O,O
['$'],O,O
['212.5'],I-PaymentsToAcquireBusinessesGross,I-PaymentsToAcquireBusinessesGross
['million'],O,O
['.'],O,O
,,
['9'],O,O
['See'],O,O
['Note'],O,O
['K'],O,O
['-'],O,O
['Goodwill'],O,O
['and'],O,O
['Other'],O,O
['Intangible'],O,O
['Assets'],O,O
['in'],O,O
['these'],O,O
['Notes'],O,O
['for'],O,O
['more'],O,O
['information'],O,O
['regarding'],O,O
['the'],O,O
['preliminary'],O,O
['allocation'],O,O
['of'],O,O
['goodwill'],O,O
['by'],O,O
['reportable'],O,O
['business'],O,O
['segment'],O,O
['under'],O,O
['the'],O,O
['revised'],O,O
['reporting'],O,O
['structure'],O,O
['.'],O,O
