sentence,real_label,pred_label
['The'],O,O
['operating'],O,O
['expenses'],O,O
['and'],O,O
['capital'],O,O
['costs'],O,O
['billed'],O,O
['from'],O,O
['KCP'],O,O
['&'],O,O
['L'],O,O
['to'],O,O
['GMO'],O,O
['were'],O,O
['$'],O,O
['42.2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['$'],O,O
['84.2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['and'],O,O
['year'],O,O
['to'],O,O
['date'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['total'],O,O
['reimbursement'],O,O
['expenses'],O,O
['for'],O,O
['administrative'],O,O
['and'],O,O
['personnel'],O,O
['services'],O,O
['provided'],O,O
['by'],O,O
['the'],O,O
['Advisor'],O,O
['were'],O,O
['$'],O,O
['1.1'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['.'],O,O
,,
['We'],O,O
['paid'],O,O
['BBI'],O,O
['$'],O,O
"['311,000']",B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['in'],O,O
['the'],O,O
['first'],O,O
['nine'],O,O
['months'],O,O
['of'],O,O
['2019'],O,O
['and'],O,O
['$'],O,O
"['233,000']",B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['in'],O,O
['the'],O,O
['first'],O,O
['nine'],O,O
['months'],O,O
['of'],O,O
['2018'],O,O
['for'],O,O
['fuel'],O,O
"[',']",O,O
['tires'],O,O
['and'],O,O
['related'],O,O
['services'],O,O
['.'],O,O
,,
['Upon'],O,O
['execution'],O,O
['of'],O,O
['the'],O,O
['commitment'],O,O
['letter'],O,O
"[',']",O,O
['we'],O,O
['paid'],O,O
['CP'],O,O
['a'],O,O
['non'],O,O
['-'],O,O
['refundable'],O,O
['commitment'],O,O
['fee'],O,O
['of'],O,O
['$'],O,O
"['200,000']",B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
"[',']",O,O
['and'],O,O
['agreed'],O,O
['to'],O,O
['reimburse'],O,O
['CP'],O,O
['for'],O,O
['all'],O,O
['reasonable'],O,O
['out'],O,O
['-'],O,O
['of'],O,O
['-'],O,O
['pocket'],O,O
['costs'],O,O
['and'],O,O
['expenses'],O,O
"[',']",O,O
['including'],O,O
['reasonable'],O,O
['legal'],O,O
['fees'],O,O
"[',']",O,O
['whether'],O,O
['or'],O,O
['not'],O,O
['the'],O,O
['loan'],O,O
['was'],O,O
['funded'],O,O
['.'],O,O
,,
['Payments'],O,O
['made'],O,O
['to'],O,O
['the'],O,O
['NRA'],O,O
['in'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['28'],O,O
"[',']",O,O
['2019'],O,O
['totaled'],O,O
['$'],O,O
['0.4'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['$'],O,O
['0.7'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['In'],O,O
['connection'],O,O
['with'],O,O
['the'],O,O
['Special'],O,O
['Dividend'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['also'],O,O
['paid'],O,O
['$'],O,O
['45'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['of'],O,O
['structuring'],O,O
['fees'],O,O
['to'],O,O
['the'],O,O
['Koch'],O,O
['Investor'],O,O
"[',']",O,O
['which'],O,O
['is'],O,O
['included'],O,O
['in'],O,O
['selling'],O,O
"[',']",O,O
['general'],O,O
['and'],O,O
['administrative'],O,O
['expenses'],O,O
['in'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statements'],O,O
['of'],O,O
['Operations'],O,O
['for'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2017.14'],O,O
['.'],O,O
,,
['We'],O,O
['incurred'],O,O
['expenses'],O,O
['for'],O,O
['services'],O,O
['provided'],O,O
['by'],O,O
['this'],O,O
['entity'],O,O
['of'],O,O
['$'],O,O
['0.4'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['$'],O,O
['0.3'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['in'],O,O
['fiscal'],O,O
['years'],O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['The'],O,O
['amounts'],O,O
['capitalized'],O,O
['for'],O,O
['these'],O,O
['transactions'],O,O
['were'],O,O
['$'],O,O
['2'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['and'],O,O
['$'],O,O
['6'],B-RelatedPartyTransactionAmountsOfTransaction,B-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['for'],O,O
['the'],O,O
['periods'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
['Related'],O,O
['party'],O,O
['balances'],O,O
['as'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['consisted'],O,O
['of'],O,O
[':'],O,O
['Transactions'],O,O
['with'],O,O
['Iberdrola'],O,O
"[',']",O,O
['our'],O,O
['majority'],O,O
['shareholder'],O,O
"[',']",O,O
['relate'],O,O
['predominantly'],O,O
['to'],O,O
['the'],O,O
['provision'],O,O
['and'],O,O
['allocation'],O,O
['of'],O,O
['corporate'],O,O
['services'],O,O
['and'],O,O
['management'],O,O
['fees'],O,O
['.'],O,O
,,
['The'],O,O
['current'],O,O
['estimated'],O,O
['payout'],O,O
['period'],O,O
['for'],O,O
['the'],O,O
['losses'],O,O
['covered'],O,O
['by'],O,O
['the'],O,O
['LPT'],O,O
['/'],O,O
['ADC'],O,O
['Agreement'],O,O
['before'],O,O
['the'],O,O
['minimum'],O,O
['retention'],O,O
['is'],O,O
['exceeded'],O,O
['is'],O,O
['approximately'],O,O
['5'],O,O
['years'],O,O
['.'],O,O
['Under'],O,O
['the'],O,O
['Commutation'],O,O
['and'],O,O
['Release'],O,O
['Agreement'],O,O
['with'],O,O
['AmTrust'],O,O
['on'],O,O
['July'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['Maiden'],O,O
['Bermuda'],O,O
['transferred'],O,O
['cash'],O,O
['and'],O,O
['invested'],O,O
['assets'],O,O
