sentence,real_label,pred_label
['Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['During'],O,O
['the'],O,O
['first'],O,O
['quarter'],O,O
['of'],O,O
['2020'],O,O
"[',']",O,O
['we'],O,O
['granted'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['RSUs'],O,O
['and'],O,O
['PSUs'],O,O
['to'],O,O
['certain'],O,O
['officers'],O,O
['and'],O,O
['other'],O,O
['eligible'],O,O
['employees'],O,O
"[',']",O,O
['and'],O,O
['recognized'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['of'],O,O
['$'],O,O
['5.9'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['and'],O,O
['$'],O,O
['11.4'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['during'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
['and'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recognized'],O,O
['$'],O,O
['0.7'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['and'],O,O
['$'],O,O
['1.1'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['in'],O,O
['stock'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['related'],O,O
['to'],O,O
['outstanding'],O,O
['Senior'],O,O
['Executive'],O,O
['Performance'],O,O
['RSUs'],O,O
['in'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['recognized'],O,O
['$'],O,O
['429'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['and'],O,O
['zero'],O,O
['in'],O,O
['compensation'],O,O
['expense'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['related'],O,O
['to'],O,O
['Employee'],O,O
['PSU'],O,O
['grants'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['recorded'],O,O
['$'],O,O
['4.5'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
['and'],O,O
['$'],O,O
['5.9'],I-AllocatedShareBasedCompensationExpense,I-AllocatedShareBasedCompensationExpense
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['of'],O,O
['equity'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['.'],O,O
,,
['Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['The'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['expense'],O,O
['relating'],O,O
['to'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['restricted'],O,O
['stock'],O,O
