sentence,real_label,pred_label
['The'],O,O
['vesting'],O,O
"[',']",O,O
['if'],O,O
['at'],O,O
['all'],O,O
"[',']",O,O
['of'],O,O
['these'],O,O
['performance'],O,O
['-'],O,O
['based'],O,O
['RSUs'],O,O
['may'],O,O
['range'],O,O
['from'],O,O
['0'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['to'],O,O
['100'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['and'],O,O
['will'],O,O
['be'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['percentage'],O,O
['attainment'],O,O
['of'],O,O
['specified'],O,O
['threshold'],O,O
"[',']",O,O
['target'],O,O
['and'],O,O
['maximum'],O,O
['performance'],O,O
['goals'],O,O
['.'],O,O
,,
['Forty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['earned'],O,O
['award'],O,O
['is'],O,O
['based'],O,O
['on'],O,O
['students'],O,O
['’'],O,O
['academic'],O,O
['progress'],O,O
['('],O,O
['“'],O,O
['Tranche'],O,O
['#'],O,O
['1'],O,O
['”'],O,O
[')'],O,O
['and'],O,O
['twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['earned'],O,O
['award'],O,O
['is'],O,O
['based'],O,O
['on'],O,O
['certain'],O,O
['enrollment'],O,O
['levels'],O,O
['('],O,O
['“'],O,O
['Tranche'],O,O
['2'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['both'],O,O
['of'],O,O
['which'],O,O
['will'],O,O
['vest'],O,O
['on'],O,O
['October'],O,O
['15'],O,O
"[',']",O,O
['2021'],O,O
['.'],O,O
,,
['The'],O,O
['term'],O,O
['of'],O,O
['the'],O,O
['options'],O,O
['under'],O,O
['the'],O,O
['2012'],O,O
['Plan'],O,O
['is'],O,O
['up'],O,O
['to'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['from'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['.'],O,O
,,
['Generally'],O,O
"[',']",O,O
['each'],O,O
['option'],O,O
['will'],O,O
['terminate'],O,O
['approximately'],O,O
['nine'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['after'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['each'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['option'],O,O
['is'],O,O
['estimated'],O,O
['on'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['using'],O,O
['a'],O,O
['Black'],O,O
['-'],O,O
['Scholes'],O,O
['valuation'],O,O
['method'],O,O
['that'],O,O
['uses'],O,O
['the'],O,O
['assumptions'],O,O
['listed'],O,O
['above'],O,O
['.'],O,O
