sentence,real_label,pred_label
['The'],O,O
['Company'],O,O
['completed'],O,O
['its'],O,O
['initial'],O,O
['accounting'],O,O
['of'],O,O
['this'],O,O
['business'],O,O
['combination'],O,O
['as'],O,O
['the'],O,O
['valuation'],O,O
['of'],O,O
['the'],O,O
['real'],O,O
['and'],O,O
['personal'],O,O
['property'],O,O
['was'],O,O
['finalized'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2016'],O,O
['.'],O,O
['The'],O,O
['following'],O,O
['table'],O,O
['summarizes'],O,O
['the'],O,O
['consideration'],O,O
['paid'],O,O
['for'],O,O
['the'],O,O
['acquisition'],O,O
['from'],O,O
['Sanimax'],O,O
['Energy'],O,O
[':'],O,O
['64'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['the'],O,O
"['500,000']",B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['shares'],O,O
['of'],O,O
['Common'],O,O
['Stock'],O,O
['issued'],O,O
['was'],O,O
['determined'],O,O
['using'],O,O
['the'],O,O
['closing'],O,O
['market'],O,O
['price'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['common'],O,O
['shares'],O,O
['at'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['acquisition'],O,O
['.'],O,O
,,
['Drop'],O,O
['-'],O,O
['Down'],O,O
['Transaction'],O,O
['18'],O,O
['Table'],O,O
['of'],O,O
['Contents'],O,O
['On'],O,O
['April'],O,O
['25'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['EQT'],O,O
"[',']",O,O
['Rice'],O,O
['Midstream'],O,O
['Holdings'],O,O
['LLC'],O,O
['('],O,O
['Rice'],O,O
['Midstream'],O,O
['Holdings'],O,O
[')'],O,O
"[',']",O,O
['a'],O,O
['wholly'],O,O
['-'],O,O
['owned'],O,O
['subsidiary'],O,O
['of'],O,O
['EQT'],O,O
"[',']",O,O
['EQM'],O,O
['and'],O,O
['EQM'],O,O
['Gathering'],O,O
['Holdings'],O,O
"[',']",O,O
['LLC'],O,O
['('],O,O
['EQM'],O,O
['Gathering'],O,O
[')'],O,O
"[',']",O,O
['a'],O,O
['wholly'],O,O
['-'],O,O
['owned'],O,O
['subsidiary'],O,O
['of'],O,O
['EQM'],O,O
"[',']",O,O
['entered'],O,O
['into'],O,O
['a'],O,O
['Contribution'],O,O
['and'],O,O
['Sale'],O,O
['Agreement'],O,O
['pursuant'],O,O
['to'],O,O
['which'],O,O
['EQM'],O,O
['Gathering'],O,O
['acquired'],O,O
['from'],O,O
['EQT'],O,O
['all'],O,O
['of'],O,O
['EQT'],O,O
"[""'s""]",O,O
['interests'],O,O
['in'],O,O
['EQM'],O,O
