sentence,real_label,pred_label
['The'],O,O
['vesting'],O,O
"[',']",O,O
['if'],O,O
['at'],O,O
['all'],O,O
"[',']",O,O
['of'],O,O
['these'],O,O
['performance'],O,O
['-'],O,O
['based'],O,O
['RSUs'],O,O
['may'],O,O
['range'],O,O
['from'],O,O
['0'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['to'],O,O
['100'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['and'],O,O
['will'],O,O
['be'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['percentage'],O,O
['attainment'],O,O
['of'],O,O
['specified'],O,O
['threshold'],O,O
"[',']",O,O
['target'],O,O
['and'],O,O
['maximum'],O,O
['performance'],O,O
['goals'],O,O
['.'],O,O
,,
['Outstanding'],O,O
['options'],O,O
['vest'],O,O
['based'],O,O
['upon'],O,O
['continued'],O,O
['service'],O,O
['at'],O,O
['varying'],O,O
['rates'],O,O
"[',']",O,O
['but'],O,O
['generally'],O,O
['over'],O,O
['four'],O,O
['years'],O,O
['from'],O,O
['issuance'],O,O
['with'],O,O
['25'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['vesting'],O,O
['after'],O,O
['one'],O,O
['year'],O,O
['of'],O,O
['service'],O,O
['and'],O,O
['the'],O,O
['remainder'],O,O
['vesting'],O,O
['monthly'],O,O
['thereafter'],O,O
['.'],O,O
,,
['To'],O,O
['date'],O,O
"[',']",O,O
['options'],O,O
['have'],O,O
['a'],O,O
['term'],O,O
['of'],O,O
['10'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],O,O
['and'],O,O
['generally'],O,O
['vest'],O,O
['over'],O,O
['4'],O,O
['years'],O,O
['with'],O,O
['25'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['vesting'],O,O
['on'],O,O
['the'],O,O
['first'],O,O
['anniversary'],O,O
['of'],O,O
['the'],O,O
['issuance'],O,O
['date'],O,O
"[',']",O,O
['and'],O,O
['then'],O,O
['monthly'],O,O
['vesting'],O,O
['for'],O,O
['an'],O,O
['additional'],O,O
['3'],O,O
['years'],O,O
['from'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['.'],O,O
['Activity'],O,O
['under'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['Plan'],O,O
['is'],O,O
['set'],O,O
['forth'],O,O
['below'],O,O
[':'],O,O
['The'],O,O
['aggregate'],O,O
['intrinsic'],O,O
['value'],O,O
['of'],O,O
['options'],O,O
['exercised'],O,O
['during'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['was'],O,O
['$'],O,O
"['2,461,000']",O,O
['.'],O,O
,,
['If'],O,O
['it'],O,O
['is'],O,O
['determined'],O,O
['that'],O,O
['attainment'],O,O
['of'],O,O
['a'],O,O
['financial'],O,O
['measure'],O,O
['higher'],O,O
['than'],O,O
['target'],O,O
['is'],O,O
['probable'],O,O
"[',']",O,O
['the'],O,O
['amortization'],O,O
['will'],O,O
['increase'],O,O
['to'],O,O
['up'],O,O
['to'],O,O
['150'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['or'],O,O
['200'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['of'],O,O
['the'],O,O
['target'],O,O
['amortization'],O,O
['amount'],O,O
['.'],O,O
,,
['In'],O,O
['July'],O,O
['2016'],O,O
"[',']",O,O
['we'],O,O
['revised'],O,O
['the'],O,O
['terms'],O,O
['of'],O,O
['our'],O,O
['RSU'],O,O
['grants'],O,O
['to'],O,O
['provide'],O,O
['that'],O,O
['the'],O,O
['awards'],O,O
['will'],O,O
['vest'],O,O
['25'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['annually'],O,O
['over'],O,O
['four'],O,O
['years'],O,O
['.'],O,O
,,
['Forty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['earned'],O,O
['award'],O,O
['is'],O,O
['based'],O,O
['on'],O,O
['students'],O,O
['’'],O,O
['academic'],O,O
['progress'],O,O
['('],O,O
['“'],O,O
['Tranche'],O,O
['#'],O,O
['1'],O,O
['”'],O,O
[')'],O,O
['and'],O,O
['twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['earned'],O,O
['award'],O,O
['is'],O,O
['based'],O,O
['on'],O,O
['certain'],O,O
['enrollment'],O,O
['levels'],O,O
['('],O,O
['“'],O,O
['Tranche'],O,O
['2'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['both'],O,O
['of'],O,O
['which'],O,O
['will'],O,O
['vest'],O,O
['on'],O,O
['October'],O,O
['15'],O,O
"[',']",O,O
['2021'],O,O
['.'],O,O
,,
['Twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['restricted'],O,O
['shares'],O,O
['vested'],O,O
['on'],O,O
['August'],O,O
['28'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['and'],O,O
['the'],O,O
['remaining'],O,O
['75'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['%'],O,O
['of'],O,O
['the'],O,O
['restricted'],O,O
['shares'],O,O
['vest'],O,O
['in'],O,O
['substantially'],O,O
['equal'],O,O
['installments'],O,O
['on'],O,O
['February'],O,O
['28'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['August'],O,O
['28'],O,O
"[',']",O,O
['2020'],O,O
['and'],O,O
['February'],O,O
['28'],O,O
"[',']",O,O
['2021'],O,O
['.'],O,O
,,
['Twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['RSUs'],O,O
['granted'],O,O
['vest'],O,O
['and'],O,O
['settle'],O,O
['on'],O,O
['each'],O,O
['of'],O,O
['the'],O,O
['first'],O,O
"[',']",O,O
['second'],O,O
"[',']",O,O
['third'],O,O
['and'],O,O
['fourth'],O,O
['anniversaries'],O,O
['of'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
,,
['Twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['RSUs'],O,O
['granted'],O,O
['vest'],O,O
['and'],O,O
['settle'],O,O
['on'],O,O
['each'],O,O
['of'],O,O
['the'],O,O
['first'],O,O
"[',']",O,O
['second'],O,O
"[',']",O,O
['third'],O,O
['and'],O,O
['fourth'],O,O
['anniversaries'],O,O
['of'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
,,
['Twenty'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,B-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['five'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,I-SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage
['percent'],O,O
['of'],O,O
['the'],O,O
['RSUs'],O,O
['granted'],O,O
['vest'],O,O
['and'],O,O
['settle'],O,O
['on'],O,O
['each'],O,O
['of'],O,O
['the'],O,O
['first'],O,O
"[',']",O,O
['second'],O,O
"[',']",O,O
['third'],O,O
['and'],O,O
['fourth'],O,O
['anniversaries'],O,O
['of'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
,,
['The'],O,O
['term'],O,O
['of'],O,O
['the'],O,O
['options'],O,O
['under'],O,O
['the'],O,O
['2012'],O,O
['Plan'],O,O
['is'],O,O
['up'],O,O
['to'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['from'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['.'],O,O
,,
['Generally'],O,O
"[',']",O,O
['each'],O,O
['option'],O,O
['will'],O,O
['terminate'],O,O
['approximately'],O,O
['nine'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['after'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['each'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['option'],O,O
['is'],O,O
['estimated'],O,O
['on'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['using'],O,O
['a'],O,O
['Black'],O,O
['-'],O,O
['Scholes'],O,O
['valuation'],O,O
['method'],O,O
['that'],O,O
['uses'],O,O
['the'],O,O
['assumptions'],O,O
['listed'],O,O
['above'],O,O
['.'],O,O
,,
['Options'],O,O
['granted'],O,O
['to'],O,O
['employees'],O,O
['and'],O,O
['officers'],O,O
['prior'],O,O
['to'],O,O
['June'],O,O
['2008'],O,O
['generally'],O,O
['vested'],O,O
['over'],O,O
['four'],O,O
['years'],O,O
"[',']",O,O
['with'],O,O
['equal'],O,O
['annual'],O,O
['cliff'],O,O
['-'],O,O
['vesting'],O,O
['and'],O,O
['expire'],O,O
['on'],O,O
['the'],O,O
['earlier'],O,O
['of'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['after'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['or'],O,O
['three'],O,O
['months'],O,O
['after'],O,O
['termination'],O,O
['of'],O,O
['service'],O,O
['.'],O,O
,,
['A'],O,O
[')'],O,O
['IHC'],O,O
['Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['Plans'],O,O
['Under'],O,O
['the'],O,O
['terms'],O,O
['of'],O,O
['IHC'],O,O
['’'],O,O
['s'],O,O
['share'],O,O
['-'],O,O
['based'],O,O
['compensation'],O,O
['plans'],O,O
[':'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['the'],O,O
['exercise'],O,O
['price'],O,O
['of'],O,O
['an'],O,O
['option'],O,O
['may'],O,O
['not'],O,O
['be'],O,O
['less'],O,O
['than'],O,O
['the'],O,O
['fair'],O,O
['market'],O,O
['value'],O,O
['of'],O,O
['an'],O,O
['IHC'],O,O
['share'],O,O
['on'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['and'],O,O
['the'],O,O
['terms'],O,O
['of'],O,O
['an'],O,O
['option'],O,O
['may'],O,O
['not'],O,O
['exceed'],O,O
['10'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],O,O
['from'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
[';'],O,O
['and'],O,O
['('],O,O
['ii'],O,O
[')'],O,O
['the'],O,O
['exercise'],O,O
['price'],O,O
['of'],O,O
['a'],O,O
['SAR'],O,O
['may'],O,O
['not'],O,O
['be'],O,O
['less'],O,O
['than'],O,O
['the'],O,O
['fair'],O,O
['market'],O,O
['value'],O,O
['of'],O,O
['an'],O,O
['IHC'],O,O
['share'],O,O
['on'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['and'],O,O
['SAR'],O,O
['terms'],O,O
['may'],O,O
['not'],O,O
['exceed'],O,O
['10'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],O,O
['from'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['.'],O,O
,,
['The'],O,O
['options'],O,O
['vest'],O,O
['over'],O,O
['a'],O,O
['three'],O,O
['-'],O,O
['year'],O,O
['period'],O,O
['and'],O,O
['expire'],O,O
['at'],O,O
['the'],O,O
['end'],O,O
['of'],O,O
['seven'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['.'],O,O
,,
['Options'],O,O
['granted'],O,O
['under'],O,O
['the'],O,O
['plans'],O,O
['typically'],O,O
['have'],O,O
['a'],O,O
['six'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['year'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['term'],O,O
['and'],O,O
['vest'],O,O
['over'],O,O
['a'],O,O
['four'],O,O
['to'],O,O
['five'],O,O
['-'],O,O
['year'],O,O
['period'],O,O
['.'],O,O
,,
['The'],O,O
['terms'],O,O
['of'],O,O
['options'],O,O
['granted'],O,O
['under'],O,O
['the'],O,O
['2015'],O,O
['Plan'],O,O
['may'],O,O
['not'],O,O
['exceed'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['.'],O,O
,,
['Awards'],O,O
['may'],O,O
['not'],O,O
['be'],O,O
['granted'],O,O
['below'],O,O
['100'],O,O
['%'],O,O
['of'],O,O
['the'],O,O
['fair'],O,O
['market'],O,O
['value'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['common'],O,O
['stock'],O,O
['at'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['and'],O,O
['generally'],O,O
['expire'],O,O
['seven'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['from'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['.'],O,O
,,
['Non'],O,O
['-'],O,O
['employee'],O,O
['director'],O,O
['options'],O,O
['expire'],O,O
['after'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['.'],O,O
,,
['RSAs'],O,O
['vest'],O,O
['over'],O,O
['a'],O,O
['one'],O,O
['-'],O,O
['year'],O,O
['period'],O,O
['and'],O,O
['RSUs'],O,O
['vest'],O,O
['over'],O,O
['a'],O,O
['four'],O,O
['-'],O,O
['year'],O,O
['period'],O,O
['.'],O,O
['Stock'],O,O
['options'],O,O
['vest'],O,O
['in'],O,O
['tranches'],O,O
['over'],O,O
['a'],O,O
['period'],O,O
['of'],O,O
['four'],O,O
['years'],O,O
['and'],O,O
['expire'],O,O
['ten'],B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['years'],I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod
['from'],O,O
['the'],O,O
['grant'],O,O
['date'],O,O
['.'],O,O
