sentence,real_label,pred_label
['ABR'],O,O
['borrowings'],O,O
['('],O,O
['which'],O,O
['are'],O,O
['borrowings'],O,O
['bearing'],O,O
['interest'],O,O
['at'],O,O
['a'],O,O
['rate'],O,O
['determined'],O,O
['by'],O,O
['reference'],O,O
['to'],O,O
['the'],O,O
['ABR'],O,O
[')'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['will'],O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['the'],O,O
['greatest'],O,O
['of'],O,O
['('],O,O
['a'],O,O
[')'],O,O
['the'],O,O
['prime'],O,O
['rate'],O,O
['in'],O,O
['effect'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
"[',']",O,O
['('],O,O
['b'],O,O
[')'],O,O
['the'],O,O
['federal'],O,O
['funds'],O,O
['effective'],O,O
['rate'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['0.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['or'],O,O
['('],O,O
['c'],O,O
[')'],O,O
['the'],O,O
['adjusted'],O,O
['LIBOR'],O,O
['for'],O,O
['a'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['interest'],O,O
['period'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['1.0'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['.'],O,O
,,
['Borrowings'],O,O
['under'],O,O
['the'],O,O
['2019'],O,O
['Term'],O,O
['Loan'],O,O
['bear'],O,O
['interest'],O,O
"[',']",O,O
['at'],O,O
['our'],O,O
['option'],O,O
"[',']",O,O
['at'],O,O
['either'],O,O
['the'],O,O
['London'],O,O
['Interbank'],O,O
['Offered'],O,O
['Rate'],O,O
['('],O,O
['“'],O,O
['LIBOR'],O,O
['”'],O,O
[')'],O,O
['or'],O,O
['the'],O,O
['Base'],O,O
['Rate'],O,O
"[',']",O,O
['in'],O,O
['each'],O,O
['case'],O,O
"[',']",O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['is'],O,O
['2.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['for'],O,O
['LIBOR'],O,O
['borrowings'],O,O
['and'],O,O
['1.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['for'],O,O
['Base'],O,O
['Rate'],O,O
['borrowings'],O,O
['.'],O,O
,,
['The'],O,O
['2016'],O,O
['-'],O,O
['1'],O,O
['Term'],O,O
['B-5'],O,O
['Loan'],O,O
['had'],O,O
['an'],O,O
['original'],O,O
['maturity'],O,O
['date'],O,O
['of'],O,O
['December'],O,O
['21'],O,O
"[',']",O,O
['2022'],O,O
"[',']",O,O
['and'],O,O
['had'],O,O
['an'],O,O
['interest'],O,O
['rate'],O,O
['of'],O,O
['LIBOR'],O,O
"[',']",O,O
['subject'],O,O
['to'],O,O
['a'],O,O
['1.0'],O,O
['%'],O,O
['floor'],O,O
"[',']",O,O
['plus'],O,O
['3.75'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['.'],O,O
,,
['We'],O,O
['incurred'],O,O
['approximately'],O,O
['$'],O,O
['3.0'],O,O
['million'],O,O
['of'],O,O
['debt'],O,O
['issuance'],O,O
['costs'],O,O
['and'],O,O
['fees'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['repricing'],O,O
['of'],O,O
['the'],O,O
['Term'],O,O
['Loan'],O,O
['Facility'],O,O
['.'],O,O
['On'],O,O
['May'],O,O
['17'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['entered'],O,O
['into'],O,O
['a'],O,O
['Second'],O,O
['Amendment'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Second'],O,O
['Amendment'],O,O
['”'],O,O
[')'],O,O
['to'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
"[',']",O,O
['which'],O,O
['reduced'],O,O
['the'],O,O
['interest'],O,O
['rate'],O,O
['on'],O,O
['the'],O,O
['$'],O,O
['813.9'],O,O
['million'],O,O
['outstanding'],O,O
['balance'],O,O
['of'],O,O
['the'],O,O
['senior'],O,O
['secured'],O,O
['term'],O,O
['loan'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['by'],O,O
['50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['basis'],O,O
['points'],O,O
['to'],O,O
['the'],O,O
['London'],O,O
['Interbank'],O,O
['Offered'],O,O
['Rate'],O,O
['('],O,O
['“'],O,O
['LIBOR'],O,O
['”'],O,O
[')'],O,O
['+'],O,O
['3.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['from'],O,O
['LIBOR'],O,O
['+'],O,O
['3.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['with'],O,O
['the'],O,O
['LIBOR'],O,O
['floor'],O,O
['unchanged'],O,O
['at'],O,O
['1.00'],O,O
['%'],O,O
['.'],O,O
,,
['At'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['our'],O,O
['Operating'],O,O
['Partnership'],O,O
['’'],O,O
['s'],O,O
['leverage'],O,O
['ratio'],O,O
['was'],O,O
['29.3'],O,O
['%'],O,O
['and'],O,O
['the'],O,O
['interest'],O,O
['rate'],O,O
['was'],O,O
['LIBOR'],O,O
['plus'],O,O
['140'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['basis'],O,O
['points'],O,O
['.'],O,O
,,
['Following'],O,O
['this'],O,O
['redemption'],O,O
"[',']",O,O
['$'],O,O
['225.0'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['of'],O,O
['the'],O,O
['2023'],O,O
['Senior'],O,O
['Notes'],O,O
['remained'],O,O
['outstanding'],O,O
['.'],O,O
,,
['Financial'],O,O
['Information'],O,O
['for'],O,O
['Subsidiary'],O,O
['and'],O,O
['Guarantor'],O,O
['Parent'],O,O
['The'],O,O
['payment'],O,O
['obligations'],O,O
['under'],O,O
['the'],O,O
['$'],O,O
['150'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['6.95'],I-DebtInstrumentInterestRateStatedPercentage,I-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
['Debentures'],O,O
['due'],O,O
['2025'],O,O
['issued'],O,O
['by'],O,O
['Allegheny'],O,O
['Ludlum'],O,O
"[',']",O,O
['LLC'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Subsidiary'],O,O
['”'],O,O
[')'],O,O
['are'],O,O
['fully'],O,O
['and'],O,O
['unconditionally'],O,O
['guaranteed'],O,O
['by'],O,O
['Allegheny'],O,O
['Technologies'],O,O
['Incorporated'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Guarantor'],O,O
['Parent'],O,O
['”'],O,O
[')'],O,O
['.'],O,O
,,
['NOTE'],O,O
['4'],O,O
[':'],O,O
['Indebtedness'],O,O
['The'],O,O
['following'],O,O
['tables'],O,O
['contain'],O,O
['summary'],O,O
['information'],O,O
['concerning'],O,O
['our'],O,O
['indebtedness'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
[':'],O,O
['('],O,O
['1'],O,O
[')'],O,O
['The'],O,O
['total'],O,O
['capacity'],O,O
['under'],O,O
['the'],O,O
['unsecured'],O,O
['credit'],O,O
['facility'],O,O
['is'],O,O
['$'],O,O
"['350,000']",I-LineOfCreditFacilityMaximumBorrowingCapacity,I-LineOfCreditFacilityMaximumBorrowingCapacity
"[',']",O,O
['of'],O,O
['which'],O,O
['$'],O,O
"['156,303']",I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['was'],O,O
['outstanding'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['also'],O,O
['had'],O,O
['$'],O,O
['78'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['and'],O,O
['$'],O,O
['106'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['at'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['in'],O,O
['other'],O,O
['debt'],O,O
['whose'],O,O
['carrying'],O,O
['value'],O,O
['approximates'],O,O
['fair'],O,O
['value'],O,O
"[',']",O,O
['which'],O,O
['consists'],O,O
['primarily'],O,O
['of'],O,O
['foreign'],O,O
['debt'],O,O
['with'],O,O
['maturities'],O,O
['of'],O,O
['one'],O,O
['year'],O,O
['or'],O,O
['less'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['$'],O,O
['148.1'],I-DebtInstrumentCarryingAmount,I-DebtInstrumentCarryingAmount
['million'],O,O
['of'],O,O
['the'],O,O
['outstanding'],O,O
['debt'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['is'],O,O
['effectively'],O,O
['at'],O,O
['a'],O,O
['fixed'],O,O
['interest'],O,O
['rate'],O,O
['as'],O,O
['a'],O,O
['result'],O,O
['of'],O,O
['a'],O,O
['$'],O,O
['148.1'],O,O
['million'],O,O
['notional'],O,O
['interest'],O,O
['rate'],O,O
['swap'],O,O
['contract'],O,O
['discussed'],O,O
['in'],O,O
['Note'],O,O
['16'],O,O
['.'],O,O
,,
['We'],O,O
['received'],O,O
['approximately'],O,O
['$'],O,O
['88.0'],O,O
['million'],O,O
['in'],O,O
['cash'],O,O
['proceeds'],O,O
['from'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['these'],O,O
['warrants'],O,O
['.'],O,O
