sentence,real_label,pred_label
['For'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['Intermountain'],O,O
['Healthcare'],O,O
['accounted'],O,O
['for'],O,O
['14'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['10'],B-ConcentrationRiskPercentage1,B-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['total'],O,O
['net'],O,O
['services'],O,O
['revenue'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['year'],O,O
['ended'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recognized'],O,O
['$'],O,O
['971'],B-ContractWithCustomerLiabilityRevenueRecognized,B-ContractWithCustomerLiabilityRevenueRecognized
['million'],O,O
['of'],O,O
['revenues'],O,O
['that'],O,O
['were'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['deferred'],O,O
['revenue'],O,O
['balance'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['Operating'],O,O
['property'],O,O
['revenues'],O,O
['totaling'],O,O
['$'],O,O
['4.9'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['12.1'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['were'],O,O
['comprised'],O,O
['of'],O,O
['$'],O,O
['3.4'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['8.4'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['in'],O,O
['lease'],O,O
['revenues'],O,O
['and'],O,O
['$'],O,O
['1.5'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['3.7'],B-RevenueFromContractWithCustomerExcludingAssessedTax,B-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['in'],O,O
['other'],O,O
['income'],O,O
['from'],O,O
['two'],O,O
['consolidated'],O,O
['hotels'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['expects'],O,O
['to'],O,O
['recognize'],O,O
['revenue'],O,O
['on'],O,O
['approximately'],O,O
['24'],O,O
['%'],O,O
['and'],O,O
['76'],O,O
['%'],O,O
['of'],O,O
['the'],O,O
['remaining'],O,O
['performance'],O,O
['obligations'],O,O
['over'],O,O
['the'],O,O
['next'],O,O
['13'],O,O
['to'],O,O
['60'],O,O
['months'],O,O
"[',']",O,O
['and'],O,O
['61'],O,O
['to'],O,O
['120'],O,O
['months'],O,O
"[',']",O,O
['respectively'],O,O
