sentence,real_label,pred_label
['ABR'],O,O
['borrowings'],O,O
['('],O,O
['which'],O,O
['are'],O,O
['borrowings'],O,O
['bearing'],O,O
['interest'],O,O
['at'],O,O
['a'],O,O
['rate'],O,O
['determined'],O,O
['by'],O,O
['reference'],O,O
['to'],O,O
['the'],O,O
['ABR'],O,O
[')'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['will'],O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['the'],O,O
['greatest'],O,O
['of'],O,O
['('],O,O
['a'],O,O
[')'],O,O
['the'],O,O
['prime'],O,O
['rate'],O,O
['in'],O,O
['effect'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
"[',']",O,O
['('],O,O
['b'],O,O
[')'],O,O
['the'],O,O
['federal'],O,O
['funds'],O,O
['effective'],O,O
['rate'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['0.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['or'],O,O
['('],O,O
['c'],O,O
[')'],O,O
['the'],O,O
['adjusted'],O,O
['LIBOR'],O,O
['for'],O,O
['a'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['interest'],O,O
['period'],O,O
['on'],O,O
['such'],O,O
['day'],O,O
['plus'],O,O
['1.0'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['percent'],O,O
['.'],O,O
,,
['Borrowings'],O,O
['under'],O,O
['the'],O,O
['2019'],O,O
['Term'],O,O
['Loan'],O,O
['bear'],O,O
['interest'],O,O
"[',']",O,O
['at'],O,O
['our'],O,O
['option'],O,O
"[',']",O,O
['at'],O,O
['either'],O,O
['the'],O,O
['London'],O,O
['Interbank'],O,O
['Offered'],O,O
['Rate'],O,O
['('],O,O
['“'],O,O
['LIBOR'],O,O
['”'],O,O
[')'],O,O
['or'],O,O
['the'],O,O
['Base'],O,O
['Rate'],O,O
"[',']",O,O
['in'],O,O
['each'],O,O
['case'],O,O
"[',']",O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['is'],O,O
['2.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['for'],O,O
['LIBOR'],O,O
['borrowings'],O,O
['and'],O,O
['1.5'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['for'],O,O
['Base'],O,O
['Rate'],O,O
['borrowings'],O,O
['.'],O,O
,,
['The'],O,O
['2016'],O,O
['-'],O,O
['1'],O,O
['Term'],O,O
['B-5'],O,O
['Loan'],O,O
['had'],O,O
['an'],O,O
['original'],O,O
['maturity'],O,O
['date'],O,O
['of'],O,O
['December'],O,O
['21'],O,O
"[',']",O,O
['2022'],O,O
"[',']",O,O
['and'],O,O
['had'],O,O
['an'],O,O
['interest'],O,O
['rate'],O,O
['of'],O,O
['LIBOR'],O,O
"[',']",O,O
['subject'],O,O
['to'],O,O
['a'],O,O
['1.0'],O,O
['%'],O,O
['floor'],O,O
"[',']",O,O
['plus'],O,O
['3.75'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['.'],O,O
,,
['We'],O,O
['incurred'],O,O
['approximately'],O,O
['$'],O,O
['3.0'],O,O
['million'],O,O
['of'],O,O
['debt'],O,O
['issuance'],O,O
['costs'],O,O
['and'],O,O
['fees'],O,O
['associated'],O,O
['with'],O,O
['the'],O,O
['repricing'],O,O
['of'],O,O
['the'],O,O
['Term'],O,O
['Loan'],O,O
['Facility'],O,O
['.'],O,O
['On'],O,O
['May'],O,O
['17'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['entered'],O,O
['into'],O,O
['a'],O,O
['Second'],O,O
['Amendment'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Second'],O,O
['Amendment'],O,O
['”'],O,O
[')'],O,O
['to'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
"[',']",O,O
['which'],O,O
['reduced'],O,O
['the'],O,O
['interest'],O,O
['rate'],O,O
['on'],O,O
['the'],O,O
['$'],O,O
['813.9'],O,O
['million'],O,O
['outstanding'],O,O
['balance'],O,O
['of'],O,O
['the'],O,O
['senior'],O,O
['secured'],O,O
['term'],O,O
['loan'],O,O
['under'],O,O
['the'],O,O
['Credit'],O,O
['Agreement'],O,O
['by'],O,O
['50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['basis'],O,O
['points'],O,O
['to'],O,O
['the'],O,O
['London'],O,O
['Interbank'],O,O
['Offered'],O,O
['Rate'],O,O
['('],O,O
['“'],O,O
['LIBOR'],O,O
['”'],O,O
[')'],O,O
['+'],O,O
['3.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['from'],O,O
['LIBOR'],O,O
['+'],O,O
['3.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['with'],O,O
['the'],O,O
['LIBOR'],O,O
['floor'],O,O
['unchanged'],O,O
['at'],O,O
['1.00'],O,O
['%'],O,O
['.'],O,O
,,
['At'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['our'],O,O
['Operating'],O,O
['Partnership'],O,O
['’'],O,O
['s'],O,O
['leverage'],O,O
['ratio'],O,O
['was'],O,O
['29.3'],O,O
['%'],O,O
['and'],O,O
['the'],O,O
['interest'],O,O
['rate'],O,O
['was'],O,O
['LIBOR'],O,O
['plus'],O,O
['140'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['basis'],O,O
['points'],O,O
['.'],O,O
,,
['LONG'],O,O
['-'],O,O
['TERM'],O,O
['DEBT'],O,O
['Long'],O,O
['-'],O,O
['term'],O,O
['debt'],O,O
['consisted'],O,O
['of'],O,O
['the'],O,O
['following'],O,O
[':'],O,O
['In'],O,O
['March'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['amended'],O,O
['and'],O,O
['refinanced'],O,O
['its'],O,O
['existing'],O,O
['term'],O,O
['loan'],O,O
"[',']",O,O
['referred'],O,O
['to'],O,O
['as'],O,O
['Term'],O,O
['Loan'],O,O
['B-1'],O,O
['('],O,O
['as'],O,O
['so'],O,O
['amended'],O,O
['and'],O,O
['refinanced'],O,O
"[',']",O,O
['the'],O,O
['“'],O,O
['2023'],O,O
['Term'],O,O
['Loans'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['in'],O,O
['order'],O,O
['to'],O,O
"[',']",O,O
['among'],O,O
['other'],O,O
['things'],O,O
"[',']",O,O
['extend'],O,O
['the'],O,O
['due'],O,O
['date'],O,O
['of'],O,O
['the'],O,O
['loan'],O,O
['from'],O,O
['September'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['25'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['2021'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['to'],O,O
['March'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['26'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
['2023'],I-DebtInstrumentMaturityDate,I-DebtInstrumentMaturityDate
"[',']",O,O
['reduce'],O,O
['the'],O,O
['interest'],O,O
['payable'],O,O
['from'],O,O
['LIBOR'],O,O
['plus'],O,O
['2.75'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['with'],O,O
['a'],O,O
['LIBOR'],O,O
['floor'],O,O
['of'],O,O
['0.75'],O,O
['%'],O,O
['to'],O,O
['LIBOR'],O,O
['plus'],O,O
['2.25'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['with'],O,O
['a'],O,O
['0'],O,O
['%'],O,O
['LIBOR'],O,O
['floor'],O,O
['and'],O,O
['increase'],O,O
['covenant'],O,O
['flexibility'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Refinancing'],O,O
['”'],O,O
[')'],O,O
['.'],O,O
,,
['The'],O,O
['applicable'],O,O
['margin'],O,O
['ranges'],O,O
['between'],O,O
['45'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['and'],O,O
['1.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
"[',']",O,O
['depending'],O,O
['on'],O,O
['the'],O,O
['Parent'],O,O
['Company'],O,O
"[""'s""]",O,O
['debt'],O,O
['ratings'],O,O
['as'],O,O
['of'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['determination'],O,O
['.'],O,O
,,
['At'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['option'],O,O
"[',']",O,O
['revolving'],O,O
['loans'],O,O
['accrue'],O,O
['interest'],O,O
['at'],O,O
['a'],O,O
['per'],O,O
['annum'],O,O
['rate'],O,O
['based'],O,O
['on'],O,O
['either'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['the'],O,O
['base'],O,O
['rate'],O,O
['plus'],O,O
['a'],O,O
['margin'],O,O
['ranging'],O,O
['from'],O,O
['0.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['to'],O,O
['1.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
"[',']",O,O
['determined'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['consolidated'],O,O
['leverage'],O,O
['ratio'],O,O
['for'],O,O
['the'],O,O
['four'],O,O
['most'],O,O
['recent'],O,O
['fiscal'],O,O
['quarters'],O,O
