sentence,real_label,pred_label
['Compensation'],O,O
['expense'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['Class'],O,O
['J'],O,O
['LP'],O,O
['Units'],O,O
['was'],O,O
['$'],O,O
"['3,700']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['and'],O,O
['$'],O,O
"['7,749']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
"['3,700']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['and'],O,O
['$'],O,O
"['7,572']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
['On'],O,O
['February'],O,O
['15'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['632'],O,O
['Class'],O,O
['J'],O,O
['LP'],O,O
['Units'],O,O
['vested'],O,O
['and'],O,O
['were'],O,O
['converted'],O,O
['to'],O,O
['an'],O,O
['equal'],O,O
['amount'],O,O
['of'],O,O
['Class'],O,O
['E'],O,O
['LP'],O,O
['Units'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recorded'],O,O
['$'],O,O
['339'],B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['and'],O,O
['$'],O,O
"['1,653']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
"[',']",O,O
['respectively'],O,O
"[',']",O,O
