sentence,real_label,pred_label
['Credit'],O,O
['Facility'],O,O
['('],O,O
['2'],O,O
[')'],O,O
['At'],O,O
['the'],O,O
['option'],O,O
['of'],O,O
['the'],O,O
['borrowers'],O,O
"[',']",O,O
['loans'],O,O
['under'],O,O
['the'],O,O
['AB'],O,O
['Credit'],O,O
['Facility'],O,O
['initially'],O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['an'],O,O
['annual'],O,O
['rate'],O,O
['equal'],O,O
['to'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['2.00'],B-DebtInstrumentBasisSpreadOnVariableRate1,B-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['plus'],O,O
['LIBOR'],O,O
['or'],O,O
['('],O,O
['ii'],O,O
[')'],O,O
['1.00'],B-DebtInstrumentBasisSpreadOnVariableRate1,B-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['plus'],O,O
['a'],O,O
['base'],O,O
['rate'],O,O
"[',']",O,O
['subject'],O,O
['to'],O,O
['a'],O,O
['0.50'],O,O
['%'],O,O
['step'],O,O
['-'],O,O
['down'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['previous'],O,O
['quarter'],O,O
['’'],O,O
['s'],O,O
['excess'],O,O
['availability'],O,O
['.'],O,O
,,
['Following'],O,O
['the'],O,O
['redemption'],O,O
"[',']",O,O
['there'],O,O
['were'],O,O
['no'],B-DebtInstrumentCarryingAmount,B-DebtInstrumentCarryingAmount
['2020'],O,O
['Notes'],O,O
['outstanding'],O,O
['.'],O,O
['Additionally'],O,O
"[',']",O,O
['to'],O,O
['strengthen'],O,O
['our'],O,O
['liquidity'],O,O
['and'],O,O
['financial'],O,O
['position'],O,O
['and'],O,O
['with'],O,O
['the'],O,O
['intention'],O,O
['to'],O,O
['mitigate'],O,O
['the'],O,O
['potential'],O,O
['impact'],O,O
['of'],O,O
['the'],O,O
['COVID-19'],O,O
['pandemic'],O,O
"[',']",O,O
['on'],O,O
['April'],O,O
['1'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['we'],O,O
['issued'],O,O
['$'],O,O
['600'],B-DebtInstrumentCarryingAmount,B-DebtInstrumentCarryingAmount
['million'],O,O
['of'],O,O
['the'],O,O
['4.20'],B-DebtInstrumentInterestRateStatedPercentage,B-DebtInstrumentInterestRateStatedPercentage
['%'],O,O
['Notes'],O,O
['.'],O,O
,,
['Under'],O,O
['the'],O,O
['current'],O,O
['conversion'],O,O
['ratio'],O,O
['that'],O,O
['became'],O,O
['effective'],O,O
['September'],O,O
['27'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['would'],O,O
['receive'],O,O
['1.6228'],B-DebtInstrumentConvertibleConversionPrice1,B-DebtInstrumentConvertibleConversionPrice1
['shares'],O,O
['of'],O,O
['Class'],O,O
['A'],O,O
['stock'],O,O
['for'],O,O
['each'],O,O
['share'],O,O
['of'],O,O
['Class'],O,O
['B'],O,O
['stock'],O,O
['for'],O,O
['a'],O,O
['total'],O,O
['of'],O,O
"['18,386']",O,O
['shares'],O,O
['of'],O,O
['Visa'],O,O
['Class'],O,O
['A'],O,O
['stock'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['issued'],O,O
['$'],O,O
['400'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['million'],O,O
['of'],O,O
['2026'],O,O
['senior'],O,O
['notes'],O,O
['on'],O,O
['August'],O,O
['8'],O,O
"[',']",O,O
['2016'],O,O
['.'],O,O
,,
['Mitsubishi'],O,O
['Bank'],O,O
['loans'],O,O
['On'],O,O
['February'],O,O
['25'],O,O
"[',']",O,O
['2015'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['entered'],O,O
['into'],O,O
['certain'],O,O
['loan'],O,O
['agreements'],O,O
['and'],O,O
['related'],O,O
['agreements'],O,O
['with'],O,O
['MUFG'],O,O
['Bank'],O,O
"[',']",O,O
['Ltd.'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Mitsubishi'],O,O
['Bank'],O,O
['”'],O,O
[')'],O,O
['that'],O,O
['provided'],O,O
['for'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['a'],O,O
['term'],O,O
['loan'],O,O
['in'],O,O
['the'],O,O
['aggregate'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['500.0'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['million'],O,O
['JPY'],O,O
['('],O,O
['$'],O,O
['4.4'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['million'],O,O
[')'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Term'],O,O
['Loan'],O,O
['A'],O,O
['”'],O,O
[')'],O,O
['and'],O,O
['('],O,O
['ii'],O,O
[')'],O,O
['a'],O,O
['term'],O,O
['loan'],O,O
['in'],O,O
['the'],O,O
['aggregate'],O,O
['principal'],O,O
['amount'],O,O
['of'],O,O
['one'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['billion'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['JPY'],O,O
['('],O,O
['approximately'],O,O
['$'],O,O
['9.3'],B-DebtInstrumentFaceAmount,B-DebtInstrumentFaceAmount
['million'],O,O
[')'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Term'],O,O
['Loan'],O,O
['B'],O,O
['”'],O,O
['and'],O,O
['together'],O,O
['with'],O,O
['the'],O,O
['Term'],O,O
['Loan'],O,O
['A'],O,O
"[',']",O,O
['the'],O,O
['“'],O,O
['2015'],O,O
['Mitsubishi'],O,O
['Bank'],O,O
['Loans'],O,O
['”'],O,O
[')'],O,O
['.'],O,O
,,
['At'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['the'],O,O
['2025'],O,O
['Senior'],O,O
['Notes'],O,O
['and'],O,O
['the'],O,O
['2028'],O,O
['Senior'],O,O
['Notes'],O,O
['was'],O,O
['estimated'],O,O
['to'],O,O
['be'],O,O
['$'],O,O
['259'],B-DebtInstrumentFairValue,B-DebtInstrumentFairValue
['million'],O,O
['('],O,O
['$'],O,O
['257'],B-DebtInstrumentFairValue,B-DebtInstrumentFairValue
['million'],O,O
['at'],O,O
['September'],O,O
['30'],O,O
