sentence,real_label,pred_label
['Loans'],O,O
['under'],O,O
['the'],O,O
['FILO'],O,O
['Tranche'],O,O
"[',']",O,O
['within'],O,O
['the'],O,O
['ABL'],O,O
['Facility'],O,O
"[',']",O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['an'],O,O
['alternate'],O,O
['base'],O,O
['rate'],O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['('],O,O
['ranging'],O,O
['from'],O,O
['1.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['to'],O,O
['1.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['pursuant'],O,O
['to'],O,O
['a'],O,O
['grid'],O,O
['based'],O,O
['on'],O,O
['average'],O,O
['excess'],O,O
['availability'],O,O
[')'],O,O
['or'],O,O
['LIBOR'],O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['('],O,O
['ranging'],O,O
['from'],O,O
['2.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['to'],O,O
['2.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['pursuant'],O,O
['to'],O,O
['a'],O,O
['grid'],O,O
['based'],O,O
['on'],O,O
['average'],O,O
['excess'],O,O
['availability'],O,O
[')'],O,O
['.'],O,O
,,
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['these'],O,O
['senior'],O,O
['notes'],O,O
['with'],O,O
['a'],O,O
['notional'],O,O
['value'],O,O
['and'],O,O
['carrying'],O,O
['value'],O,O
['('],O,O
['gross'],O,O
['of'],O,O
['debt'],O,O
['cost'],O,O
[')'],O,O
['of'],O,O
['$'],O,O
['500'],I-DebtInstrumentFaceAmount,I-DebtInstrumentFaceAmount
['million'],O,O
['was'],O,O
['estimated'],O,O
['using'],O,O
['a'],O,O
['quoted'],O,O
['price'],O,O
['as'],O,O
['provided'],O,O
['in'],O,O
['the'],O,O
['secondary'],O,O
['market'],O,O
"[',']",O,O
['which'],O,O
['considers'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['credit'],O,O
['risk'],O,O
['and'],O,O
['market'],O,O
['related'],O,O
['conditions'],O,O
"[',']",O,O
['and'],O,O
['is'],O,O
['therefore'],O,O
['within'],O,O
['Level'],O,O
['2'],O,O
['of'],O,O
['the'],O,O
['fair'],O,O
['value'],O,O
['hierarchy'],O,O
['.'],O,O
,,
['With'],O,O
['respect'],O,O
['to'],O,O
['the'],O,O
['Revolver'],O,O
"[',']",O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['$'],O,O
['7.1'],I-LettersOfCreditOutstandingAmount,I-LettersOfCreditOutstandingAmount
['in'],O,O
['outstanding'],O,O
['letters'],O,O
['of'],O,O
['credit'],O,O
