sentence,real_label,pred_label
['In'],O,O
['addition'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['purchased'],O,O
['software'],O,O
['development'],O,O
['services'],O,O
['pursuant'],O,O
['to'],O,O
['a'],O,O
['technology'],O,O
['services'],O,O
['agreement'],O,O
['with'],O,O
['Dev'],O,O
['Factory'],O,O
['FZ'],O,O
['-'],O,O
['LLC'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
['totaling'],O,O
['$'],O,O
['1.2'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['and'],O,O
['$'],O,O
['0.8'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['for'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
['were'],O,O
['approximately'],O,O
['$'],O,O
['3.7'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
['and'],O,O
['$'],O,O
['2.4'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['month'],O,O
['periods'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['also'],O,O
['obtained'],O,O
['and'],O,O
['paid'],O,O
['legal'],O,O
['services'],O,O
['totaling'],O,O
['six'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['thousand'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['two'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['hundred'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['and'],O,O
['$'],O,O
['0.2'],I-RelatedPartyTransactionAmountsOfTransaction,I-RelatedPartyTransactionAmountsOfTransaction
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['to'],O,O
['Segal'],O,O
['McCambridge'],O,O
['Singer'],O,O
['&'],O,O
['Mahoney'],O,O
"[',']",O,O
['a'],O,O
['firm'],O,O
['for'],O,O
['which'],O,O
['the'],O,O
['brother'],O,O
['-'],O,O
['in'],O,O
['-'],O,O
['law'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['Executive'],O,O
['Vice'],O,O
['President'],O,O
"[',']",O,O
['General'],O,O
['Counsel'],O,O
['and'],O,O
['Secretary'],O,O
['is'],O,O
['a'],O,O
['shareholder'],O,O
['.'],O,O
,,
['Commission'],O,O
['expense'],O,O
['recognized'],O,O
['for'],O,O
['these'],O,O
['agents'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['totaled'],O,O
['$'],O,O
['14.5'],I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['$'],O,O
['14.6'],I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['41.9'],I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['and'],O,O
['$'],O,O
['43.0'],I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,I-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty
['million'],O,O
['for'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
['10'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['did'],O,O
['not'],O,O
['receive'],O,O
['any'],O,O
['proceeds'],O,O
['from'],O,O
['the'],O,O
['sale'],O,O
['of'],O,O
['the'],O,O
['approximately'],O,O
['6.1'],I-SaleOfStockNumberOfSharesIssuedInTransaction,I-SaleOfStockNumberOfSharesIssuedInTransaction
['million'],O,O
['shares'],O,O
['of'],O,O
['Class'],O,O
['A'],O,O
['common'],O,O
['stock'],O,O
['by'],O,O
['the'],O,O
['Selling'],O,O
['Stockholder'],O,O
['and'],O,O
['the'],O,O
['Selling'],O,O
['LLC'],O,O
['Unitholders'],O,O
['.'],O,O
,,
['In'],O,O
['July'],O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['settled'],O,O
['the'],O,O
['forward'],O,O
['sales'],O,O
['in'],O,O
['full'],O,O
['by'],O,O
['delivering'],O,O
['six'],I-SaleOfStockNumberOfSharesIssuedInTransaction,I-SaleOfStockNumberOfSharesIssuedInTransaction
['million'],I-SaleOfStockNumberOfSharesIssuedInTransaction,I-SaleOfStockNumberOfSharesIssuedInTransaction
['shares'],O,O
['of'],O,O
['our'],O,O
['common'],O,O
['stock'],O,O
['to'],O,O
['the'],O,O
['counterparties'],O,O
['in'],O,O
['the'],O,O
['agreements'],O,O
['and'],O,O
['received'],O,O
['$'],O,O
['349'],O,O
['million'],O,O
['of'],O,O
['net'],O,O
['cash'],O,O
['proceeds'],O,O
['.'],O,O
,,
['Simultaneously'],O,O
['with'],O,O
['Wave'],O,O
['USA'],O,O
['and'],O,O
['Wave'],O,O
['UK'],O,O
['’'],O,O
['s'],O,O
['entry'],O,O
['into'],O,O
['the'],O,O
['collaboration'],O,O
['and'],O,O
['license'],O,O
['agreement'],O,O
['with'],O,O
['Takeda'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Takeda'],O,O
['Collaboration'],O,O
['Agreement'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['entered'],O,O
['into'],O,O
['a'],O,O
['share'],O,O
['purchase'],O,O
['agreement'],O,O
['with'],O,O
['Takeda'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['Takeda'],O,O
['Equity'],O,O
['Agreement'],O,O
"[',']",O,O
['”'],O,O
['and'],O,O
['together'],O,O
['with'],O,O
['the'],O,O
['Takeda'],O,O
['Collaboration'],O,O
['Agreement'],O,O
"[',']",O,O
['the'],O,O
['“'],O,O
['Takeda'],O,O
['Agreements'],O,O
['”'],O,O
[')'],O,O
['pursuant'],O,O
['to'],O,O
['which'],O,O
['it'],O,O
['agreed'],O,O
['to'],O,O
['sell'],O,O
['to'],O,O
['Takeda'],O,O
"['1,096,892']",O,O
['of'],O,O
['its'],O,O
['ordinary'],O,O
['shares'],O,O
['at'],O,O
['a'],O,O
['purchase'],O,O
['price'],O,O
['of'],O,O
['$'],O,O
['54.70'],I-SaleOfStockPricePerShare,I-SaleOfStockPricePerShare
['per'],O,O
['share'],O,O
['.'],O,O
