sentence,real_label,pred_label
['Combination'],O,O
['-'],O,O
['As'],O,O
['discussed'],O,O
['in'],O,O
['Note'],O,O
['3'],O,O
"[',']",O,O
['Business'],O,O
['Combination'],O,O
"[',']",O,O
['we'],O,O
['issued'],O,O
['84.5'],I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,I-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['million'],O,O
['shares'],O,O
['of'],O,O
['McDermott'],O,O
['common'],O,O
['stock'],O,O
['to'],O,O
['the'],O,O
['former'],O,O
['CB'],O,O
['&'],O,O
['I'],O,O
['shareholders'],O,O
['.'],O,O
,,
['60'],O,O
['Sharyland'],O,O
['Holdings'],O,O
['On'],O,O
['May'],O,O
['16'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['Sempra'],O,O
['Energy'],O,O
['acquired'],O,O
['an'],O,O
['indirect'],O,O
"[',']",O,O
['50'],I-BusinessAcquisitionPercentageOfVotingInterestsAcquired,I-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['-'],O,O
['percent'],O,O
['interest'],O,O
['in'],O,O
['Sharyland'],O,O
['Holdings'],O,O
['for'],O,O
['$'],O,O
['102'],I-BusinessCombinationConsiderationTransferred1,I-BusinessCombinationConsiderationTransferred1
['million'],O,O
['('],O,O
['subject'],O,O
['to'],O,O
['customary'],O,O
['closing'],O,O
['adjustments'],O,O
[')'],O,O
['pursuant'],O,O
['to'],O,O
['the'],O,O
['Securities'],O,O
['Purchase'],O,O
['Agreement'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['acquired'],O,O
['one'],I-BusinessAcquisitionPercentageOfVotingInterestsAcquired,I-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['hundred'],I-BusinessAcquisitionPercentageOfVotingInterestsAcquired,I-BusinessAcquisitionPercentageOfVotingInterestsAcquired
['percent'],O,O
['of'],O,O
['Interface'],O,O
['for'],O,O
['an'],O,O
['initial'],O,O
['price'],O,O
['of'],O,O
['$'],O,O
['268.4'],O,O
['million'],O,O
"[',']",O,O
['net'],O,O
['of'],O,O
['cash'],O,O
['acquired'],O,O
['of'],O,O
['$'],O,O
['5.2'],O,O
['million'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['paid'],O,O
['total'],O,O
['consideration'],O,O
['of'],O,O
['$'],O,O
