sentence,real_label,pred_label
['There'],O,O
['was'],O,O
['no'],B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['to'],O,O
['the'],O,O
['opening'],O,O
['balance'],O,O
['of'],O,O
['retained'],O,O
['earnings'],O,O
['recorded'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['for'],O,O
['adoption'],O,O
['as'],O,O
['there'],O,O
['were'],O,O
['no'],O,O
['initial'],O,O
['direct'],O,O
['costs'],O,O
['or'],O,O
['other'],O,O
['capitalized'],O,O
['costs'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['legacy'],O,O
['leases'],O,O
['that'],O,O
['needed'],O,O
['to'],O,O
['be'],O,O
['derecognized'],O,O
['upon'],O,O
['adoption'],O,O
['of'],O,O
['ASC'],O,O
['842'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recorded'],O,O
['$'],O,O
['0.3'],B-LeaseAndRentalExpense,B-LeaseAndRentalExpense
['million'],O,O
['and'],O,O
['$'],O,O
['0.6'],B-LeaseAndRentalExpense,B-LeaseAndRentalExpense
['million'],O,O
['of'],O,O
['rental'],O,O
['expense'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2017'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['which'],O,O
['is'],O,O
['included'],O,O
['in'],O,O
['operating'],O,O
['expenses'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['statements'],O,O
['of'],O,O
['income'],O,O
['.'],O,O
,,
['Our'],O,O
['real'],O,O
['estate'],O,O
['lease'],O,O
['terms'],O,O
['range'],O,O
['from'],O,O
['one'],O,O
['to'],O,O
['15'],B-LesseeOperatingLeaseTermOfContract,B-LesseeOperatingLeaseTermOfContract
['years'],O,O
['and'],O,O
['generally'],O,O
['have'],O,O
['renewal'],O,O
['options'],O,O
['of'],O,O
['between'],O,O
['five'],O,O
['and'],O,O
['15'],B-LesseeOperatingLeaseRenewalTerm,B-LesseeOperatingLeaseRenewalTerm
['years'],O,O
['.'],O,O
,,
['Our'],O,O
['store'],O,O
['leases'],O,O
['typically'],O,O
['have'],O,O
['an'],O,O
['initial'],O,O
['term'],O,O
['of'],O,O
['10'],B-LesseeOperatingLeaseTermOfContract,B-LesseeOperatingLeaseTermOfContract
['years'],O,O
['and'],O,O
['often'],O,O
['have'],O,O
['two'],O,O
['renewal'],O,O
['options'],O,O
['of'],O,O
