sentence,real_label,pred_label
['Based'],O,O
['on'],O,O
['gross'],O,O
['book'],O,O
['value'],O,O
"[',']",O,O
['approximately'],O,O
['22.1'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['and'],O,O
['39.5'],I-ConcentrationRiskPercentage1,I-ConcentrationRiskPercentage1
['%'],O,O
['of'],O,O
['our'],O,O
['consolidated'],O,O
['real'],O,O
['estate'],O,O
['investments'],O,O
['were'],O,O
['seniors'],O,O
['housing'],O,O
['communities'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['triple'],O,O
['-'],O,O
['net'],O,O
['leased'],O,O
['properties'],O,O
['and'],O,O
['senior'],O,O
['living'],O,O
['operations'],O,O
['reportable'],O,O
['business'],O,O
['segments'],O,O
"[',']",O,O
['respectively'],O,O
['('],O,O
['excluding'],O,O
['properties'],O,O
['classified'],O,O
['as'],O,O
['held'],O,O
['for'],O,O
['sale'],O,O
['as'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
[')'],O,O
['.'],O,O
,,
['During'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['recognized'],O,O
['revenues'],O,O
['of'],O,O
['$'],O,O
['1.1'],I-ContractWithCustomerLiabilityRevenueRecognized,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['2.5'],I-ContractWithCustomerLiabilityRevenueRecognized,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['that'],O,O
['was'],O,O
['included'],O,O
['in'],O,O
['the'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['contract'],O,O
['liabilities'],O,O
['balance'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['calculated'],O,O
['the'],O,O
['transaction'],O,O
['price'],O,O
['by'],O,O
['including'],O,O
['the'],O,O
['unconstrained'],O,O
['milestones'],O,O
['along'],O,O
['with'],O,O
['the'],O,O
['estimated'],O,O
['payments'],O,O
['for'],O,O
['research'],O,O
['and'],O,O
['development'],O,O
['services'],O,O
['and'],O,O
['recorded'],O,O
['$'],O,O
['0.1'],I-RevenueFromContractWithCustomerExcludingAssessedTax,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['0.5'],I-RevenueFromContractWithCustomerExcludingAssessedTax,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['as'],O,O
['collaboration'],O,O
['and'],O,O
['license'],O,O
['revenue'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['3.6'],I-RevenueFromContractWithCustomerExcludingAssessedTax,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['and'],O,O
['$'],O,O
['21.9'],I-RevenueFromContractWithCustomerExcludingAssessedTax,I-RevenueFromContractWithCustomerExcludingAssessedTax
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['by'],O,O
['measuring'],O,O
['the'],O,O
['progress'],O,O
['toward'],O,O
['complete'],O,O
['satisfaction'],O,O
['of'],O,O
['the'],O,O
['performance'],O,O
['obligation'],O,O
['using'],O,O
['an'],O,O
['input'],O,O
['measure'],O,O
['.'],O,O
,,
['Income'],O,O
['received'],O,O
['from'],O,O
['PGIM'],O,O
['Investments'],O,O
['related'],O,O
['to'],O,O
['this'],O,O
['agreement'],O,O
['was'],O,O
['$'],O,O
['3'],I-RevenueFromContractWithCustomerIncludingAssessedTax,I-RevenueFromContractWithCustomerIncludingAssessedTax
['million'],O,O
['for'],O,O
['both'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['5'],I-RevenueFromContractWithCustomerIncludingAssessedTax,I-RevenueFromContractWithCustomerIncludingAssessedTax
['million'],O,O
['for'],O,O
['both'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['2017'],O,O
"[',']",O,O
['our'],O,O
['revenues'],O,O
['included'],O,O
['$'],O,O
['145'],I-RevenueFromRelatedParties,I-RevenueFromRelatedParties
['million'],O,O
['and'],O,O
['$'],O,O
['85'],I-RevenueFromRelatedParties,I-RevenueFromRelatedParties
['million'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['related'],O,O
['to'],O,O
['the'],O,O
['services'],O,O
['we'],O,O
['provided'],O,O
['to'],O,O
['our'],O,O
['joint'],O,O
['ventures'],O,O
"[',']",O,O
['primarily'],O,O
['the'],O,O
['Ichthys'],O,O
['JV'],O,O
['within'],O,O
['our'],O,O
['HS'],O,O
['business'],O,O
['segment'],O,O
['.'],O,O
,,
['Transaction'],O,O
['Price'],O,O
['Allocated'],O,O
['to'],O,O
['the'],O,O
['Remaining'],O,O
['Performance'],O,O
['Obligations'],O,O
['As'],O,O
['of'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['revenue'],O,O
['of'],O,O
['approximately'],O,O
['$'],O,O
['173.7'],I-RevenueRemainingPerformanceObligation,I-RevenueRemainingPerformanceObligation
['million'],O,O
['is'],O,O
['expected'],O,O
['to'],O,O
['be'],O,O
['recognized'],O,O
['from'],O,O
['remaining'],O,O
['performance'],O,O
['obligations'],O,O
['for'],O,O
['subscription'],O,O
['contracts'],O,O
['.'],O,O
,,
['Revenue'],O,O
['recognized'],O,O
['from'],O,O
['these'],O,O
['contracts'],O,O
['was'],O,O
['approximately'],O,O
['$'],O,O
"['100,000']",I-Revenues,I-Revenues
['in'],O,O
['2017'],O,O
['.'],O,O
