sentence,real_label,pred_label
['The'],O,O
['plan'],O,O
['allows'],O,O
['for'],O,O
['the'],O,O
['issuance'],O,O
['of'],O,O
['up'],O,O
['to'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['3,750,000']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['common'],O,O
['stock'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['August'],O,O
['2'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['reserved'],O,O
"['21,250,069']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['available'],O,O
['for'],O,O
['future'],O,O
['equity'],O,O
['award'],O,O
['grants'],O,O
['under'],O,O
['our'],O,O
['equity'],O,O
['incentive'],O,O
['plans'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['had'],O,O
['approximately'],O,O
['$'],O,O
['10.4'],O,O
['million'],O,O
['of'],O,O
['capacity'],O,O
['available'],O,O
['to'],O,O
['it'],O,O
['under'],O,O
['its'],O,O
['“'],O,O
['at'],O,O
['-'],O,O
['the'],O,O
['-'],O,O
['market'],O,O
['”'],O,O
['equity'],O,O
['offering'],O,O
['program'],O,O
['.'],O,O
['Note'],O,O
['9-Share'],O,O
['-'],O,O
['Based'],O,O
['Compensation'],O,O
['('],O,O
['A'],O,O
[')'],O,O
['Myovant'],O,O
['2016'],O,O
['Equity'],O,O
['Incentive'],O,O
['Plan'],O,O
['In'],O,O
['June'],O,O
['2016'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['adopted'],O,O
['its'],O,O
['2016'],O,O
['Equity'],O,O
['Incentive'],O,O
['Plan'],O,O
"[',']",O,O
['or'],O,O
['as'],O,O
['amended'],O,O
"[',']",O,O
['the'],O,O
['2016'],O,O
['Plan'],O,O
"[',']",O,O
['under'],O,O
['which'],O,O
['4.5'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['common'],O,O
['shares'],O,O
['were'],O,O
['originally'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['.'],O,O
,,
['At'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['have'],O,O
['reserved'],O,O
['approximately'],O,O
['3.9'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['for'],O,O
['future'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['LTIP'],O,O
['.'],O,O
,,
['There'],O,O
['were'],O,O
"['23,578,923']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['of'],O,O
['Class'],O,O
['B'],O,O
['common'],O,O
['stock'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
['2011'],O,O
['Plan'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['number'],O,O
['of'],O,O
['2019'],O,O
['Performance'],O,O
['-'],O,O
['Based'],O,O
['RSUs'],O,O
['estimated'],O,O
['to'],O,O
['be'],O,O
['earned'],O,O
['based'],O,O
['on'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['estimate'],O,O
['of'],O,O
['the'],O,O
['performance'],O,O
['conditions'],O,O
['measured'],O,O
['against'],O,O
['the'],O,O
['applicable'],O,O
['goals'],O,O
['was'],O,O
"['212,957']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
"[',']",O,O
['and'],O,O
['the'],O,O
['compensation'],O,O
['cost'],O,O
['recorded'],O,O
['to'],O,O
['date'],O,O
['for'],O,O
['this'],O,O
['program'],O,O
['was'],O,O
['based'],O,O
['on'],O,O
['that'],O,O
['estimate'],O,O
['.'],O,O
,,
['The'],O,O
['2016'],O,O
['Equity'],O,O
['Incentive'],O,O
['Plan'],O,O
['('],O,O
['“'],O,O
['2016'],O,O
['Plan'],O,O
['”'],O,O
[')'],O,O
['provides'],O,O
['for'],O,O
['issuing'],O,O
['equity'],O,O
['awards'],O,O
['for'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['6,000,000']",O,O
['shares'],O,O
['of'],O,O
['our'],O,O
['common'],O,O
['stock'],O,O
"[',']",O,O
['of'],O,O
['which'],O,O
"['3,000,000']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['have'],O,O
['been'],O,O
['registered'],O,O
['at'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2017'],O,O
"[',']",O,O
['in'],O,O
['the'],O,O
['form'],O,O
['of'],O,O
['grants'],O,O
['of'],O,O
['restricted'],O,O
['shares'],O,O
"[',']",O,O
['incentive'],O,O
['stock'],O,O
['options'],O,O
['('],O,O
['employees'],O,O
['only'],O,O
[')'],O,O
"[',']",O,O
['non'],O,O
['-'],O,O
['qualified'],O,O
['stock'],O,O
['options'],O,O
"[',']",O,O
['share'],O,O
['appreciation'],O,O
['rights'],O,O
"[',']",O,O
['performance'],O,O
['shares'],O,O
"[',']",O,O
['and'],O,O
['performance'],O,O
['units'],O,O
['.'],O,O
,,
['At'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['there'],O,O
['were'],O,O
['0.0'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['and'],O,O
['0.5'],I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['million'],O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['reserved'],O,O
['for'],O,O
['issuance'],O,O
['pursuant'],O,O
['to'],O,O
['options'],O,O
['granted'],O,O
['under'],O,O
['our'],O,O
['stock'],O,O
['option'],O,O
['plans'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
"['128,126']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-CommonStockCapitalSharesReservedForFutureIssuance
['shares'],O,O
['available'],O,O
['for'],O,O
['future'],O,O
['issuance'],O,O
['under'],O,O
['the'],O,O
