sentence,real_label,pred_label
['Loans'],O,O
['under'],O,O
['the'],O,O
['FILO'],O,O
['Tranche'],O,O
"[',']",O,O
['within'],O,O
['the'],O,O
['ABL'],O,O
['Facility'],O,O
"[',']",O,O
['bear'],O,O
['interest'],O,O
['at'],O,O
['an'],O,O
['alternate'],O,O
['base'],O,O
['rate'],O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['('],O,O
['ranging'],O,O
['from'],O,O
['1.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['to'],O,O
['1.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['pursuant'],O,O
['to'],O,O
['a'],O,O
['grid'],O,O
['based'],O,O
['on'],O,O
['average'],O,O
['excess'],O,O
['availability'],O,O
[')'],O,O
['or'],O,O
['LIBOR'],O,O
['plus'],O,O
['an'],O,O
['applicable'],O,O
['margin'],O,O
['('],O,O
['ranging'],O,O
['from'],O,O
['2.00'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['to'],O,O
['2.50'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
['pursuant'],O,O
['to'],O,O
['a'],O,O
['grid'],O,O
['based'],O,O
['on'],O,O
['average'],O,O
['excess'],O,O
['availability'],O,O
[')'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['most'],O,O
['recently'],O,O
['amended'],O,O
['the'],O,O
['Floor'],O,O
['Plan'],O,O
['Facility'],O,O
['in'],O,O
['November'],O,O
['2018'],O,O
['to'],O,O
"[',']",O,O
['among'],O,O
['other'],O,O
['things'],O,O
"[',']",O,O
['extend'],O,O
['the'],O,O
['maturity'],O,O
['date'],O,O
['to'],O,O
['October'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
"[',']",O,O
['increase'],O,O
['the'],O,O
['available'],O,O
['capacity'],O,O
['to'],O,O
['$'],O,O
['650.0'],I-LineOfCreditFacilityMaximumBorrowingCapacity,I-LineOfCreditFacilityMaximumBorrowingCapacity
['million'],O,O
['from'],O,O
['$'],O,O
['350.0'],I-LineOfCreditFacilityMaximumBorrowingCapacity,I-LineOfCreditFacilityMaximumBorrowingCapacity
['million'],O,O
"[',']",O,O
['and'],O,O
['lower'],O,O
['the'],O,O
['annual'],O,O
['interest'],O,O
['rate'],O,O
['to'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['LIBOR'],O,O
['plus'],O,O
['3.40'],I-DebtInstrumentBasisSpreadOnVariableRate1,I-DebtInstrumentBasisSpreadOnVariableRate1
['%'],O,O
"[',']",O,O
['a'],O,O
['decrease'],O,O
['from'],O,O
['the'],O,O
['previous'],O,O
['rate'],O,O
['of'],O,O
['one'],O,O
['-'],O,O
['month'],O,O
['LIBOR'],O,O
['plus'],O,O
