sentence,real_label,pred_label
['The'],O,O
['adoption'],O,O
['of'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['did'],O,O
['not'],O,O
['materially'],O,O
['affect'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statements'],O,O
['of'],O,O
['Operations'],O,O
[';'],O,O
['and'],O,O
['therefore'],O,O
"[',']",O,O
['no'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['was'],O,O
['recorded'],O,O
['.'],O,O
,,
['The'],O,O
['net'],O,O
['impact'],O,O
['is'],O,O
['reflected'],O,O
['in'],O,O
['assets'],O,O
['and'],O,O
['liabilities'],O,O
['of'],O,O
['discontinued'],O,O
['operations'],O,O
['with'],O,O
['a'],O,O
['corresponding'],O,O
['reduction'],O,O
['to'],O,O
"['""']",O,O
['Retained'],O,O
['earnings'],O,O
"['""']",O,O
['of'],O,O
['$'],O,O
['183'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['balance'],O,O
['sheets'],O,O
['at'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['As'],O,O
['a'],O,O
['result'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['reclassified'],O,O
['$'],O,O
['10.9'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['from'],O,O
"['""']",O,O
['Accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
"['""']",O,O
['to'],O,O
"['""']",O,O
['Retained'],O,O
['earnings'],O,O
"['""']",O,O
['on'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Balance'],O,O
['Sheet'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['29'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['adopted'],O,O
['ASU'],O,O
['2018'],O,O
['-'],O,O
['02'],O,O
['on'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['this'],O,O
['adoption'],O,O
['resulted'],O,O
['in'],O,O
['a'],O,O
['reclassification'],O,O
['that'],O,O
['increased'],O,O
['retained'],O,O
['earnings'],O,O
['by'],O,O
['$'],O,O
['3.8'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
"[',']",O,O
['with'],O,O
['an'],O,O
['offsetting'],O,O
['increase'],O,O
['to'],O,O
['accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
['for'],O,O
['the'],O,O
['same'],O,O
['amount'],O,O
['.'],O,O
['In'],O,O
['August'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['FASB'],O,O
['issued'],O,O
['ASU'],O,O
['2018'],O,O
['-'],O,O
['13'],O,O
"[',']",O,O
['Disclosure'],O,O
['Framework'],O,O
['-'],O,O
['Changes'],O,O
['to'],O,O
['the'],O,O
['Disclosure'],O,O
['Requirements'],O,O
['for'],O,O
['Fair'],O,O
['Value'],O,O
['Measurement'],O,O
"[',']",O,O
['which'],O,O
['improves'],O,O
['fair'],O,O
['value'],O,O
['disclosure'],O,O
['requirements'],O,O
['by'],O,O
['removing'],O,O
['disclosures'],O,O
['that'],O,O
['are'],O,O
['not'],O,O
['cost'],O,O
['beneficial'],O,O
"[',']",O,O
['clarifying'],O,O
['disclosures'],O,O
['’'],O,O
['specific'],O,O
['requirements'],O,O
['and'],O,O
['adding'],O,O
['relevant'],O,O
['disclosure'],O,O
['requirements'],O,O
['.'],O,O
,,
['The'],O,O
['impact'],O,O
['of'],O,O
['the'],O,O
['adoption'],O,O
['of'],O,O
['this'],O,O
['standard'],O,O
['on'],O,O
['December'],O,O
['29'],O,O
"[',']",O,O
['2018'],O,O
['was'],O,O
['an'],O,O
['increase'],O,O
['in'],O,O
['the'],O,O
['beginning'],O,O
['balance'],O,O
['of'],O,O
['the'],O,O
['currency'],O,O
['translation'],O,O
['adjustment'],O,O
['component'],O,O
['of'],O,O
['Accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
['of'],O,O
['$'],O,O
['1.0'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
"[',']",O,O
['and'],O,O
['a'],O,O
['decrease'],O,O
['in'],O,O
['Retained'],O,O
['Earnings'],O,O
"[',']",O,O
['as'],O,O
['presented'],O,O
['in'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['Consolidated'],O,O
['Balance'],O,O
['Sheet'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recorded'],O,O
['a'],O,O
['net'],O,O
['increase'],O,O
['to'],O,O
['beginning'],O,O
['retained'],O,O
['earnings'],O,O
['of'],O,O
['approximately'],O,O
['$'],O,O
"['5,673']",I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['as'],O,O
['of'],O,O
['October'],O,O
['1'],O,O
"[',']",O,O
['2018'],O,O
['due'],O,O
['to'],O,O
['the'],O,O
['cumulative'],O,O
['impact'],O,O
['of'],O,O
['adopting'],O,O
['ASC'],O,O
['606'],O,O
['.'],O,O
,,
['The'],O,O
['results'],O,O
['for'],O,O
['periods'],O,O
['prior'],O,O
['to'],O,O
['fiscal'],O,O
['year'],O,O
['2019'],O,O
['were'],O,O
['not'],O,O
['adjusted'],O,O
['for'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['and'],O,O
['the'],O,O
['cumulative'],O,O
['effect'],O,O
['of'],O,O
['the'],O,O
['change'],O,O
['in'],O,O
['accounting'],O,O
['of'],O,O
['$'],O,O
"['28,927']",I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
"[',']",O,O
['as'],O,O
['previously'],O,O
['reported'],O,O
"[',']",O,O
['was'],O,O
['recognized'],O,O
['as'],O,O
['a'],O,O
['net'],O,O
['increase'],O,O
['to'],O,O
['retained'],O,O
['earnings'],O,O
['at'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['adoption'],O,O
['.'],O,O
['Woodward'],O,O
['has'],O,O
['elected'],O,O
['to'],O,O
['apply'],O,O
['the'],O,O
['modified'],O,O
['retrospective'],O,O
['method'],O,O
['only'],O,O
['to'],O,O
['contracts'],O,O
['that'],O,O
['were'],O,O
['not'],O,O
['completed'],O,O
['as'],O,O
['of'],O,O
['October'],O,O
['1'],O,O
"[',']",O,O
['2018'],O,O
['.'],O,O
,,
['No'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['was'],O,O
['recorded'],O,O
['to'],O,O
['Retained'],O,O
['Earnings'],O,O
['at'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['and'],O,O
['comparative'],O,O
['financial'],O,O
['statements'],O,O
['for'],O,O
['periods'],O,O
['prior'],O,O
['to'],O,O
['adoption'],O,O
['of'],O,O
['ASC'],O,O
['842'],O,O
['were'],O,O
['not'],O,O
['affected'],O,O
['.'],O,O
,,
['2016'],O,O
['-'],O,O
['09'],O,O
"[',']",O,O
['excess'],O,O
['tax'],O,O
['benefits'],O,O
['related'],O,O
['to'],O,O
['equity'],O,O
['compensation'],O,O
['are'],O,O
['recorded'],O,O
['as'],O,O
['a'],O,O
['component'],O,O
['of'],O,O
['income'],O,O
['tax'],O,O
['expense'],O,O
"[',']",O,O
['pursuant'],O,O
['to'],O,O
['which'],O,O
['we'],O,O
['recorded'],O,O
['a'],O,O
['cumulative'],O,O
['-'],O,O
['effect'],O,O
['adjustment'],O,O
['to'],O,O
['increase'],O,O
['retained'],O,O
['earnings'],O,O
['and'],O,O
['deferred'],O,O
['tax'],O,O
['assets'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2017'],O,O
['by'],O,O
['$'],O,O
['18.6'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['for'],O,O
['previously'],O,O
['unrecognized'],O,O
['excess'],O,O
['tax'],O,O
['benefits'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recorded'],O,O
['a'],O,O
['cumulative'],O,O
['effect'],O,O
['of'],O,O
['a'],O,O
['change'],O,O
['in'],O,O
['accounting'],O,O
['principle'],O,O
['of'],O,O
['$'],O,O
['0.2'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['29'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['as'],O,O
['a'],O,O
['result'],O,O
['of'],O,O
['adopting'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['.'],O,O
,,
['Rental'],O,O
['expense'],O,O
['for'],O,O
['office'],O,O
['equipment'],O,O
['totaled'],O,O
['$'],O,O
"['1,132']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['and'],O,O
['$'],O,O
"['3,059']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
