,tokens,ner_tags
0,"['The', 'interest', 'rate', 'under', 'these', 'facilities', 'is', 'the', 'higher', 'of', 'the', 'bank', ""'s"", 'minimum', 'lending', 'rate', 'or', 'LIBOR', ',', 'plus', 'a', 'margin', 'of', '0.9', '%', 'per', 'annum', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
1,"['The', 'Convertible', 'Notes', 'consisted', 'of', 'a', '$', '1.1', 'billion', 'initial', 'placement', 'and', 'an', 'over', '-', 'allotment', 'option', 'that', 'provided', 'the', 'initial', 'purchasers', 'of', 'the', 'Convertible', 'Notes', 'with', 'the', 'option', 'to', 'purchase', 'an', 'additional', '$', '165.0', 'million', 'aggregate', 'principal', 'amount', 'of', 'the', 'Convertible', 'Notes', ',', 'which', 'was', 'fully', 'exercised', '.']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['As', 'of', 'September', '30', ',', '2019', ',', 'the', 'Company', 'had', 'outstanding', 'letters', 'of', 'credit', 'totaling', '$', '1.3', 'million', 'with', 'various', 'expiration', 'dates', 'through', '2027', '.', 'Guarantees', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['As', 'of', 'March', '31', ',', '2019', ',', '$', '320.0', 'million', 'was', 'outstanding', 'under', 'the', 'line', 'of', 'credit', 'and', '$', '62.5', 'million', 'was', 'available', 'for', 'future', 'use', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]"
4,"['In', 'addition', 'to', 'paying', 'interest', 'on', 'outstanding', 'principal', 'under', 'the', 'revolving', 'credit', 'facility', ',', 'the', 'US', 'Borrower', 'is', 'required', 'to', 'pay', 'a', 'commitment', 'fee', 'in', 'respect', 'of', 'unutilized', 'revolving', 'commitments', 'of', '0.50', '%', 'per', 'annum', 'based', 'on', 'a', 'leverage', '-', 'based', 'performance', 'grid', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['The', 'Amended', 'and', 'Restated', 'Loan', 'Agreement', 'provides', 'for', 'a', 'revolving', 'credit', 'facility', 'with', 'aggregate', 'commitments', 'in', 'an', 'amount', 'equal', 'to', '$', '40.0', 'million', ',', 'which', 'aggregate', 'commitments', 'may', 'be', 'increased', ',', 'on', 'the', 'terms', 'and', 'subject', 'to', 'the', 'conditions', 'set', 'forth', 'in', 'the', 'Amended', 'and', 'Restated', 'Loan', 'Agreement', ',', 'to', 'up', 'to', '$', '60.0', 'million', 'during', 'the', 'period', 'beginning', 'December', '1', 'each', 'year', 'through', 'March', '1', 'of', 'the', 'following', 'year', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['The', 'interest', 'rate', 'at', 'March', '28', ',', '2020', 'was', 'LIBOR', 'plus', '65', 'basis', 'points', '(', '1.64', '%', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0]"
7,"['The', 'Third', 'Amendment', 'increased', 'the', 'revolving', 'credit', 'facility', 'under', 'the', 'Second', 'Amended', 'and', 'Restated', 'Credit', 'Agreement', 'by', '$', '100', 'million', ',', 'from', '$', '225', 'million', 'to', '$', '325', 'million', ',', 'and', 'reset', 'the', 'uncommitted', 'accordion', 'feature', 'to', '$', '125', 'million', 'for', 'potential', 'future', 'expansion', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['As', 'of', 'December', '31', ',', '2018', ',', 'there', 'were', 'outstanding', 'borrowings', 'of', '$', '75.0', 'million', 'under', 'the', 'Accounts', 'Receivable', 'Facility', ',', 'which', 'reduced', 'the', 'availability', 'under', 'this', 'facility', 'to', '$', '25.0', 'million', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]"
9,"['The', 'Company', 'is', 'also', 'required', 'to', 'pay', 'an', 'annual', 'fee', 'to', 'revolving', 'lenders', 'equal', 'to', 'a', 'maximum', 'of', '2.0', '%', '(', 'subject', 'to', 'adjustment', 'based', 'on', 'the', 'amount', 'available', 'to', 'be', 'be', 'drawn', 'under', 'the', 'Revolving', 'Credit', 'Facility', ')', 'on', 'outstanding', 'letters', 'of', 'credit', 'and', 'an', 'annual', 'commitment', 'fee', 'of', '0.375', '%', 'on', 'the', 'undrawn', 'portion', 'of', 'the', 'Revolving', 'Credit', 'Facility', 'subject', 'to', 'an', 'increase', 'to', '0.5', '%', 'based', 'on', 'the', 'amount', 'available', 'to', 'drawn', 'under', 'the', 'Revolving', 'Credit', 'Facility', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
