sentence,real_label,pred_label
['The'],O,O
['plan'],O,O
['allows'],O,O
['for'],O,O
['the'],O,O
['issuance'],O,O
['of'],O,O
['up'],O,O
['to'],O,O
['an'],O,O
['aggregate'],O,O
['of'],O,O
"['3,750,000']",I-CommonStockCapitalSharesReservedForFutureIssuance,I-PreferredStockSharesAuthorized
['shares'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
['’'],O,O
['s'],O,O
['common'],O,O
['stock'],O,O
['.'],O,O
,,
['At'],O,O
['the'],O,O
['July'],O,O
['2019'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['meeting'],O,O
"[',']",O,O
['a'],O,O
['quarterly'],O,O
['cash'],O,O
['dividend'],O,O
['of'],O,O
['$'],O,O
['0.25'],I-CommonStockDividendsPerShareDeclared,I-CommonStockDividendsPerShareDeclared
['per'],O,O
['share'],O,O
['('],O,O
['$'],O,O
['1.00'],O,O
['on'],O,O
['an'],O,O
['annualized'],O,O
['basis'],O,O
[')'],O,O
['was'],O,O
['declared'],O,O
['.'],O,O
,,
['Shareholders'],O,O
['’'],O,O
['Equity'],O,O
['Common'],O,O
['Stock'],O,O
['-'],O,O
['As'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['had'],O,O
"['500,000,000']",I-CommonStockSharesAuthorized,I-PreferredStockSharesAuthorized
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['authorized'],O,O
['with'],O,O
['a'],O,O
['par'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
['0.01'],I-CommonStockParOrStatedValuePerShare,I-CommonStockParOrStatedValuePerShare
['per'],O,O
['share'],O,O
['and'],O,O
"['89,310,684']",O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['issued'],O,O
['and'],O,O
['outstanding'],O,O
['.'],O,O
,,
['On'],O,O
['March'],O,O
['1'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['October'],O,O
['23'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['our'],O,O
['Board'],O,O
['of'],O,O
['Directors'],O,O
['granted'],O,O
"['121,650']",O,O
['and'],O,O
"['3,000']",O,O
['of'],O,O
['RSUs'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['under'],O,O
['our'],O,O
['Amended'],O,O
['and'],O,O
['Restated'],O,O
['2004'],O,O
['Omnibus'],O,O
['Incentive'],O,O
['Compensation'],O,O
['Plan'],O,O
['.'],O,O
['On'],O,O
['May'],O,O
['8'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['our'],O,O
['stockholders'],O,O
['approved'],O,O
['an'],O,O
['amendment'],O,O
['to'],O,O
['our'],O,O
['Articles'],O,O
['of'],O,O
['Incorporation'],O,O
['to'],O,O
['increase'],O,O
['the'],O,O
['aggregate'],O,O
['number'],O,O
['of'],O,O
['shares'],O,O
['of'],O,O
['stock'],O,O
['of'],O,O
['all'],O,O
['classes'],O,O
['which'],O,O
['we'],O,O
['have'],O,O
['the'],O,O
['authority'],O,O
['to'],O,O
['issue'],O,O
['from'],O,O
"['70,000,000']",O,O
['shares'],O,O
['to'],O,O
"['120,000,000']",O,O
['shares'],O,O
"[',']",O,O
['by'],O,O
['increasing'],O,O
['('],O,O
['i'],O,O
[')'],O,O
['the'],O,O
['aggregate'],O,O
['number'],O,O
['of'],O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['which'],O,O
['we'],O,O
['have'],O,O
['the'],O,O
['authority'],O,O
['to'],O,O
['issue'],O,O
['from'],O,O
"['60,000,000']",I-CommonStockSharesAuthorized,I-PreferredStockSharesAuthorized
['to'],O,O
"['100,000,000']",I-CommonStockSharesAuthorized,I-PreferredStockSharesAuthorized
['shares'],O,O
"[',']",O,O
['and'],O,O
['('],O,O
['ii'],O,O
[')'],O,O
['the'],O,O
['aggregate'],O,O
['number'],O,O
['of'],O,O
['shares'],O,O
['of'],O,O
['preferred'],O,O
['stock'],O,O
['which'],O,O
['we'],O,O
['have'],O,O
['the'],O,O
['authority'],O,O
['to'],O,O
['issue'],O,O
['from'],O,O
"['10,000,000']",I-PreferredStockSharesAuthorized,I-PreferredStockSharesAuthorized
['to'],O,O
"['20,000,000']",I-PreferredStockSharesAuthorized,I-PreferredStockSharesAuthorized
['shares'],O,O
['.'],O,O
['19'],O,O
['ATM'],O,O
['Program'],O,O
['In'],O,O
['March'],O,O
['2018'],O,O
"[',']",O,O
['we'],O,O
['established'],O,O
['an'],O,O
['at'],O,O
['-'],O,O
['the'],O,O
['-'],O,O
['market'],O,O
['equity'],O,O
['offering'],O,O
['program'],O,O
['('],O,O
['the'],O,O
['“'],O,O
['ATM'],O,O
['Program'],O,O
['”'],O,O
[')'],O,O
"[',']",O,O
['pursuant'],O,O
['to'],O,O
['which'],O,O
['we'],O,O
['are'],O,O
['able'],O,O
['to'],O,O
['issue'],O,O
['and'],O,O
['sell'],O,O
['shares'],O,O
['of'],O,O
['our'],O,O
['common'],O,O
['stock'],O,O
['with'],O,O
['an'],O,O
['aggregate'],O,O
['sales'],O,O
['price'],O,O
['of'],O,O
['up'],O,O
['to'],O,O
['$'],O,O
"['125,000,000']",O,O
['through'],O,O
['a'],O,O
['consortium'],O,O
['of'],O,O
['banks'],O,O
['acting'],O,O
['as'],O,O
['agents'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['October'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['we'],O,O
['had'],O,O
['one'],I-CommonStockSharesAuthorized,I-CommonStockSharesAuthorized
['billion'],I-CommonStockSharesAuthorized,I-CommonStockSharesAuthorized
['shares'],O,O
['of'],O,O
['Class'],O,O
['A'],O,O
['common'],O,O
['stock'],O,O
['authorized'],O,O
"[',']",O,O
['with'],O,O
['a'],O,O
['par'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
['0.000025'],I-CommonStockParOrStatedValuePerShare,I-CommonStockParOrStatedValuePerShare
['per'],O,O
['share'],O,O
"[',']",O,O
['and'],O,O
['200'],I-CommonStockSharesAuthorized,I-CommonStockSharesAuthorized
['million'],O,O
['shares'],O,O
['of'],O,O
['Class'],O,O
['B'],O,O
['common'],O,O
['stock'],O,O
['authorized'],O,O
"[',']",O,O
['with'],O,O
['a'],O,O
['par'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
['0.000025'],I-CommonStockParOrStatedValuePerShare,I-CommonStockParOrStatedValuePerShare
['per'],O,O
['share'],O,O
['.'],O,O
,,
['FINANCIAL'],O,O
['STATEMENTS'],O,O
['('],O,O
['UNAUDITED'],O,O
[')'],O,O
['WILLIS'],O,O
['TOWERS'],O,O
['WATSON'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statements'],O,O
['of'],O,O
['Comprehensive'],O,O
['Income'],O,O
['('],O,O
['In'],O,O
['millions'],O,O
['of'],O,O
['U.S.'],O,O
['dollars'],O,O
"[',']",O,O
['except'],O,O
['per'],O,O
['share'],O,O
['data'],O,O
