sentence,real_label,pred_label
['There'],O,O
['was'],O,O
['no'],B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['to'],O,O
['the'],O,O
['opening'],O,O
['balance'],O,O
['of'],O,O
['retained'],O,O
['earnings'],O,O
['recorded'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['for'],O,O
['adoption'],O,O
['as'],O,O
['there'],O,O
['were'],O,O
['no'],O,O
['initial'],O,O
['direct'],O,O
['costs'],O,O
['or'],O,O
['other'],O,O
['capitalized'],O,O
['costs'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['legacy'],O,O
['leases'],O,O
['that'],O,O
['needed'],O,O
['to'],O,O
['be'],O,O
['derecognized'],O,O
['upon'],O,O
['adoption'],O,O
['of'],O,O
['ASC'],O,O
['842'],O,O
['.'],O,O
,,
['As'],O,O
['a'],O,O
['result'],O,O
['of'],O,O
['the'],O,O
['adoption'],O,O
['of'],O,O
['the'],O,O
['standard'],O,O
"[',']",O,O
['the'],O,O
['deferred'],O,O
['tax'],O,O
['charges'],O,O
['previously'],O,O
['recognized'],O,O
['from'],O,O
['those'],O,O
['sales'],O,O
['resulted'],O,O
['in'],O,O
['a'],O,O
['decrease'],O,O
['in'],O,O
['deferred'],O,O
['tax'],O,O
['assets'],O,O
['and'],O,O
['a'],O,O
['cumulative'],O,O
['adjustment'],O,O
['to'],O,O
['retained'],O,O
['earnings'],O,O
['of'],O,O
['$'],O,O
['2.5'],B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['balance'],O,O
['sheets'],O,O
['and'],O,O
['statements'],O,O
['of'],O,O
['changes'],O,O
['in'],O,O
['equity'],O,O
['as'],O,O
['of'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2018'],O,O
['.'],O,O
['Revenue'],O,O
['Recognition'],O,O
['.'],O,O
,,
['There'],O,O
['was'],O,O
['no'],B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,B-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['-'],O,O
['effect'],O,O
['adjustment'],O,O
['to'],O,O
['retained'],O,O
['earnings'],O,O
['upon'],O,O
['adoption'],O,O
['of'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['.'],O,O
,,
['We'],O,O
['adopted'],O,O
['ASU'],O,O
['2016'],O,O
['-'],O,O
['16'],O,O
['effective'],O,O
['January'],O,O
