sentence,real_label,pred_label
['The'],O,O
['adoption'],O,O
['of'],O,O
['the'],O,O
['new'],O,O
['standard'],O,O
['did'],O,O
['not'],O,O
['materially'],O,O
['affect'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Statements'],O,O
['of'],O,O
['Operations'],O,O
[';'],O,O
['and'],O,O
['therefore'],O,O
"[',']",O,O
['no'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['cumulative'],O,O
['effect'],O,O
['adjustment'],O,O
['was'],O,O
['recorded'],O,O
['.'],O,O
,,
['The'],O,O
['net'],O,O
['impact'],O,O
['is'],O,O
['reflected'],O,O
['in'],O,O
['assets'],O,O
['and'],O,O
['liabilities'],O,O
['of'],O,O
['discontinued'],O,O
['operations'],O,O
['with'],O,O
['a'],O,O
['corresponding'],O,O
['reduction'],O,O
['to'],O,O
"['""']",O,O
['Retained'],O,O
['earnings'],O,O
"['""']",O,O
['of'],O,O
['$'],O,O
['183'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['in'],O,O
['the'],O,O
['consolidated'],O,O
['balance'],O,O
['sheets'],O,O
['at'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['As'],O,O
['a'],O,O
['result'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['reclassified'],O,O
['$'],O,O
['10.9'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
['from'],O,O
"['""']",O,O
['Accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
"['""']",O,O
['to'],O,O
"['""']",O,O
['Retained'],O,O
['earnings'],O,O
"['""']",O,O
['on'],O,O
['the'],O,O
['Condensed'],O,O
['Consolidated'],O,O
['Balance'],O,O
['Sheet'],O,O
['as'],O,O
['of'],O,O
['September'],O,O
['29'],O,O
"[',']",O,O
['2019'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['adopted'],O,O
['ASU'],O,O
['2018'],O,O
['-'],O,O
['02'],O,O
['on'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['this'],O,O
['adoption'],O,O
['resulted'],O,O
['in'],O,O
['a'],O,O
['reclassification'],O,O
['that'],O,O
['increased'],O,O
['retained'],O,O
['earnings'],O,O
['by'],O,O
['$'],O,O
['3.8'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
"[',']",O,O
['with'],O,O
['an'],O,O
['offsetting'],O,O
['increase'],O,O
['to'],O,O
['accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
['for'],O,O
['the'],O,O
['same'],O,O
['amount'],O,O
['.'],O,O
['In'],O,O
['August'],O,O
['2018'],O,O
"[',']",O,O
['the'],O,O
['FASB'],O,O
['issued'],O,O
['ASU'],O,O
['2018'],O,O
['-'],O,O
['13'],O,O
"[',']",O,O
['Disclosure'],O,O
['Framework'],O,O
['-'],O,O
['Changes'],O,O
['to'],O,O
['the'],O,O
['Disclosure'],O,O
['Requirements'],O,O
['for'],O,O
['Fair'],O,O
['Value'],O,O
['Measurement'],O,O
"[',']",O,O
['which'],O,O
['improves'],O,O
['fair'],O,O
['value'],O,O
['disclosure'],O,O
['requirements'],O,O
['by'],O,O
['removing'],O,O
['disclosures'],O,O
['that'],O,O
['are'],O,O
['not'],O,O
['cost'],O,O
['beneficial'],O,O
"[',']",O,O
['clarifying'],O,O
['disclosures'],O,O
['’'],O,O
['specific'],O,O
['requirements'],O,O
['and'],O,O
['adding'],O,O
['relevant'],O,O
['disclosure'],O,O
['requirements'],O,O
['.'],O,O
,,
['The'],O,O
['impact'],O,O
['of'],O,O
['the'],O,O
['adoption'],O,O
['of'],O,O
['this'],O,O
['standard'],O,O
['on'],O,O
['December'],O,O
['29'],O,O
"[',']",O,O
['2018'],O,O
['was'],O,O
['an'],O,O
['increase'],O,O
['in'],O,O
['the'],O,O
['beginning'],O,O
['balance'],O,O
['of'],O,O
['the'],O,O
['currency'],O,O
['translation'],O,O
['adjustment'],O,O
['component'],O,O
['of'],O,O
['Accumulated'],O,O
['other'],O,O
['comprehensive'],O,O
['loss'],O,O
['of'],O,O
['$'],O,O
['1.0'],I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,I-CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption
['million'],O,O
"[',']",O,O
['and'],O,O
['a'],O,O
['decrease'],O,O
['in'],O,O
['Retained'],O,O
['Earnings'],O,O
"[',']",O,O
['as'],O,O
['presented'],O,O
['in'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['Consolidated'],O,O
['Balance'],O,O
['Sheet'],O,O
['.'],O,O
,,
['Rental'],O,O
['expense'],O,O
['for'],O,O
['office'],O,O
['equipment'],O,O
['totaled'],O,O
['$'],O,O
"['1,132']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['and'],O,O
['$'],O,O
"['3,059']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['and'],O,O
['$'],O,O
['939'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['and'],O,O
['$'],O,O
"['2,198']",I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['for'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['entered'],O,O
['into'],O,O
['a'],O,O
['separate'],O,O
['non'],O,O
['-'],O,O
['cancellable'],O,O
['facility'],O,O
['lease'],O,O
['for'],O,O
['warehouse'],O,O
['space'],O,O
['beginning'],O,O
['on'],O,O
['March'],O,O
['1'],O,O
"[',']",O,O
['2017'],O,O
['through'],O,O
['February'],O,O
['28'],O,O
"[',']",O,O
['2022'],O,O
"[',']",O,O
['under'],O,O
['which'],O,O
['it'],O,O
['is'],O,O
['obligated'],O,O
['to'],O,O
['pay'],O,O
['approximately'],O,O
['$'],O,O
['0.4'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['million'],O,O
['in'],O,O
['lease'],O,O
['payments'],O,O
['over'],O,O
['the'],O,O
['term'],O,O
['of'],O,O
['the'],O,O
['lease'],O,O
['.'],O,O
,,
['Rent'],O,O
['expense'],O,O
['was'],O,O
['approximately'],O,O
['$'],O,O
['0.2'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['billion'],O,O
['in'],O,O
['each'],O,O
['of'],O,O
['fiscal'],O,O
['years'],O,O
['2019'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['2017'],O,O
['.'],O,O
['As'],O,O
['of'],O,O
['October'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['future'],O,O
['minimum'],O,O
['operating'],O,O
['lease'],O,O
['commitments'],O,O
['were'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['Unconditional'],O,O
['Purchase'],O,O
['Obligations'],O,O
['As'],O,O
['of'],O,O
['October'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['HP'],O,O
['had'],O,O
['unconditional'],O,O
['purchase'],O,O
['obligations'],O,O
['of'],O,O
['$'],O,O
['372'],O,O
['million'],O,O
['.'],O,O
,,
['Additionally'],O,O
"[',']",O,O
['expenses'],O,O
['for'],O,O
['cloud'],O,O
['-'],O,O
['based'],O,O
['services'],O,O
['related'],O,O
['to'],O,O
['data'],O,O
['centers'],O,O
['were'],O,O
['$'],O,O
['1.9'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['million'],O,O
['and'],O,O
['$'],O,O
['0.9'],I-LeaseAndRentalExpense,I-LeaseAndRentalExpense
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['2017'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['Operating'],O,O
['leases'],O,O
['are'],O,O
['included'],O,O
['in'],O,O
['operating'],O,O
['lease'],O,O
['assets'],O,O
"[',']",O,O
['other'],O,O
['current'],O,O
['liabilities'],O,O
['and'],O,O
['operating'],O,O
['lease'],O,O
['liabilities'],O,O
['on'],O,O
['our'],O,O
['condensed'],O,O
['consolidated'],O,O
['balance'],O,O
['sheet'],O,O
['as'],O,O
['of'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2019'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['The'],O,O
['components'],O,O
['of'],O,O
['lease'],O,O
['expense'],O,O
"[',']",O,O
['including'],O,O
['variable'],O,O
['lease'],O,O
['costs'],O,O
['primarily'],O,O
['consisting'],O,O
['of'],O,O
['common'],O,O
['area'],O,O
['maintenance'],O,O
['on'],O,O
['our'],O,O
['office'],O,O
['spaces'],O,O
['and'],O,O
['variable'],O,O
['transportation'],O,O
['costs'],O,O
"[',']",O,O
['are'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['17DCP'],O,O
['MIDSTREAM'],O,O
"[',']",O,O
['LPNOTES'],O,O
['TO'],O,O
['CONDENSED'],O,O
['CONSOLIDATED'],O,O
['FINANCIAL'],O,O
['STATEMENTS'],O,O
['Three'],O,O
['Months'],O,O
